N 400
M 1130
R 26
# u v length
1 361 2
2 362 2
3 363 1
4 364 2
5 365 2
6 366 1
7 367 2
8 368 2
9 369 1
10 370 1
11 371 1
12 373 1
13 374 1
14 375 3
15 376 3
16 377 3
17 378 3
18 379 2
19 380 2
20 381 2
21 383 2
22 384 2
23 385 2
24 387 2
25 388 2
26 389 2
27 390 2
28 391 2
29 393 7
30 394 5
31 395 5
32 396 6
33 346 17
34 357 17
35 67 1
36 309 2
36 312 2
37 176 2
37 296 2
38 215 1
38 223 2
38 324 1
39 131 1
39 132 1
39 368 1
40 160 1
40 161 2
40 256 1
41 123 1
41 257 1
42 47 1
42 187 2
42 191 1
42 198 1
43 44 1
43 119 1
44 43 1
45 175 5
45 392 1
46 64 1
46 392 2
47 42 1
47 196 2
47 200 1
48 190 1
48 272 4
49 50 1
49 51 1
49 271 4
50 49 1
50 335 3
51 49 1
51 283 3
52 53 2
52 277 3
52 286 5
52 394 4
53 52 2
53 276 3
53 287 3
54 56 10
54 74 9
54 357 2
55 307 5
55 355 7
56 54 10
56 57 3
56 342 2
57 56 3
57 320 3
57 343 2
58 61 3
58 305 2
58 306 2
58 307 4
59 60 1
59 306 3
60 59 1
60 308 1
61 58 3
61 62 1
62 61 1
62 396 1
63 298 4
63 300 4
63 301 2
63 310 3
64 46 1
64 298 2
64 301 2
65 262 1
65 393 1
65 399 3
66 329 2
66 353 5
67 68 1
67 71 7
68 67 1
68 69 1
68 293 2
69 68 1
69 70 1
70 35 1
70 69 1
71 54 9
71 72 1
72 71 1
72 73 1
72 320 2
73 72 1
73 74 1
73 355 4
74 70 7
74 73 1
75 76 1
75 77 1
75 364 1
76 75 1
76 222 1
76 231 1
77 75 1
77 78 1
77 231 1
77 232 1
78 77 1
78 79 1
78 83 1
78 105 1
79 78 1
79 88 1
79 231 1
79 235 1
80 81 1
80 88 1
80 224 1
80 225 1
81 80 1
81 82 1
81 141 1
81 368 1
82 81 1
82 132 1
82 139 2
83 78 1
83 84 1
83 234 1
83 235 1
84 83 1
84 85 1
84 89 1
85 84 1
85 87 1
85 236 1
85 365 1
86 87 1
86 237 2
86 365 1
87 85 1
87 86 1
87 90 1
88 79 1
88 80 1
88 229 1
88 230 1
89 84 1
89 91 1
89 235 1
89 236 1
90 87 1
90 93 1
90 236 1
90 366 2
91 89 1
91 92 1
91 228 1
91 229 1
92 91 1
92 226 1
92 228 1
93 90 1
93 226 1
93 227 2
94 128 2
94 130 2
94 227 2
95 135 1
95 136 2
95 138 2
96 374 2
97 374 1
98 100 1
98 123 1
99 373 2
100 98 1
100 101 1
101 100 1
101 102 3
102 101 3
102 103 1
102 373 1
103 102 1
103 126 2
103 381 1
104 123 1
105 78 1
105 232 1
105 234 1
106 191 1
106 194 1
107 273 1
107 275 1
107 276 2
108 269 4
108 282 1
108 284 1
109 110 1
109 115 1
109 116 1
109 117 1
110 109 1
110 116 1
110 117 1
110 118 1
111 112 1
111 202 1
111 203 1
112 111 1
112 375 1
113 114 3
114 113 3
114 115 1
114 158 1
114 163 2
115 109 1
115 114 1
116 109 1
116 110 1
116 246 6
117 109 1
117 110 1
117 120 3
118 110 1
118 380 2
119 116 3
120 44 1
120 122 2
121 119 2
123 41 1
123 98 1
123 104 1
123 126 2
124 125 2
125 124 2
125 126 1
125 154 2
126 103 2
126 123 2
126 125 1
126 257 1
127 128 1
127 129 1
127 372 1
128 94 2
128 127 1
129 127 1
129 130 2
129 133 1
130 94 2
130 129 2
130 131 1
130 132 1
131 39 1
131 130 1
131 226 1
132 39 1
132 82 1
132 130 1
133 129 1
133 367 2
133 371 2
134 371 2
135 95 1
135 373 2
135 374 1
136 95 2
136 153 2
136 369 2
136 373 1
137 140 2
137 152 2
137 369 1
138 95 2
138 367 2
138 369 2
138 370 1
139 82 2
139 140 2
139 142 1
139 367 1
140 137 2
140 139 2
140 143 1
140 144 3
141 81 1
141 142 1
141 224 1
142 139 1
142 141 1
142 143 2
142 223 1
143 140 1
143 142 2
143 324 1
144 140 3
144 145 1
144 151 2
144 323 2
145 144 1
145 204 4
145 378 1
146 147 1
146 149 2
146 250 2
146 378 2
147 146 1
147 148 2
147 251 2
147 377 3
148 147 2
148 149 1
148 359 1
149 146 2
149 148 1
149 360 1
150 151 2
150 378 2
151 144 2
151 150 2
151 152 1
151 381 2
152 137 2
152 151 1
152 153 2
152 369 2
153 136 2
153 152 2
153 381 1
154 125 2
154 155 1
155 154 1
155 156 2
155 380 2
156 155 2
156 157 1
156 360 1
157 156 1
157 359 1
157 380 2
158 114 1
158 159 4
158 379 3
158 380 2
159 158 4
159 256 2
159 377 1
160 40 1
160 254 3
160 389 2
161 40 2
161 162 1
161 164 3
161 165 2
162 161 1
162 379 2
163 114 2
163 379 2
164 161 3
165 161 2
165 325 3
166 167 2
166 169 3
166 325 1
167 166 2
167 168 2
167 255 2
168 167 2
168 169 1
168 171 3
168 387 3
169 166 3
169 168 1
170 171 2
170 327 2
171 168 3
171 170 2
172 173 2
172 179 1
172 180 1
172 386 1
173 172 2
173 174 1
173 179 1
173 327 2
174 173 1
174 175 5
174 176 2
175 45 5
175 174 5
175 391 2
176 37 2
176 174 2
176 177 2
177 176 2
177 316 1
