N 1200
M 7964
R 200
# u v length
1001 18 101.0
18 1001 101.0
1001 113 107.0
113 1001 107.0
1001 164 106.0
164 1001 106.0
1001 270 108.0
270 1001 108.0
1001 309 108.0
309 1001 108.0
1001 320 107.0
320 1001 107.0
1001 381 108.0
381 1001 108.0
1001 404 109.0
404 1001 109.0
1001 410 102.0
410 1001 102.0
1001 433 106.0
433 1001 106.0
1001 452 104.0
452 1001 104.0
1001 491 107.0
491 1001 107.0
1001 587 101.0
587 1001 101.0
1001 639 102.0
639 1001 102.0
1001 844 101.0
844 1001 101.0
1001 855 110.0
855 1001 110.0
1001 935 109.0
935 1001 109.0
1001 970 109.0
970 1001 109.0
1002 10 109.0
10 1002 109.0
1002 17 104.0
17 1002 104.0
1002 59 105.0
59 1002 105.0
1002 184 109.0
184 1002 109.0
1002 238 101.0
238 1002 101.0
1002 254 106.0
254 1002 106.0
1002 355 109.0
355 1002 109.0
1002 419 106.0
419 1002 106.0
1002 423 106.0
423 1002 106.0
1002 444 107.0
444 1002 107.0
1002 448 108.0
448 1002 108.0
1002 612 106.0
612 1002 106.0
1002 625 103.0
625 1002 103.0
1002 677 108.0
677 1002 108.0
1002 685 101.0
685 1002 101.0
1002 688 110.0
688 1002 110.0
1002 707 104.0
707 1002 104.0
1002 757 110.0
757 1002 110.0
1002 844 104.0
844 1002 104.0
1002 948 108.0
948 1002 108.0
1002 951 106.0
951 1002 106.0
1003 220 102.0
220 1003 102.0
1003 273 102.0
273 1003 102.0
1003 284 106.0
284 1003 106.0
1003 294 109.0
294 1003 109.0
1003 346 109.0
346 1003 109.0
1003 434 102.0
434 1003 102.0
1003 446 107.0
446 1003 107.0
1003 511 102.0
511 1003 102.0
1003 587 106.0
587 1003 106.0
1003 719 102.0
719 1003 102.0
1003 746 105.0
746 1003 105.0
1003 753 110.0
753 1003 110.0
1003 788 107.0
788 1003 107.0
1003 923 102.0
923 1003 102.0
1003 957 106.0
957 1003 106.0
1003 975 108.0
975 1003 108.0
1004 17 109.0
17 1004 109.0
1004 28 102.0
28 1004 102.0
1004 165 107.0
165 1004 107.0
1004 218 106.0
218 1004 106.0
1004 317 109.0
317 1004 109.0
1004 340 110.0
340 1004 110.0
1004 405 105.0
405 1004 105.0
1004 407 105.0
407 1004 105.0
1004 447 103.0
447 1004 103.0
1004 463 108.0
463 1004 108.0
1004 542 108.0
542 1004 108.0
1004 662 102.0
662 1004 102.0
1004 748 102.0
748 1004 102.0
1004 920 104.0
920 1004 104.0
1004 966 102.0
966 1004 102.0
1004 987 107.0
987 1004 107.0
1005 17 107.0
17 1005 107.0
1005 70 109.0
70 1005 109.0
1005 104 105.0
104 1005 105.0
1005 124 102.0
124 1005 102.0
1005 163 108.0
163 1005 108.0
1005 203 102.0
203 1005 102.0
1005 289 106.0
289 1005 106.0
1005 363 102.0
363 1005 102.0
1005 381 102.0
381 1005 102.0
1005 603 108.0
603 1005 108.0
1005 634 107.0
634 1005 107.0
1005 657 103.0
657 1005 103.0
1005 801 106.0
801 1005 106.0
1005 862 103.0
862 1005 103.0
1005 886 103.0
886 1005 103.0
1005 950 102.0
950 1005 102.0
1005 993 101.0
993 1005 101.0
1006 177 102.0
177 1006 102.0
1006 178 106.0
178 1006 106.0
1006 206 105.0
206 1006 105.0
1006 210 104.0
210 1006 104.0
1006 234 110.0
234 1006 110.0
1006 254 108.0
254 1006 108.0
1006 340 102.0
340 1006 102.0
1006 344 109.0
344 1006 109.0
1006 370 105.0
370 1006 105.0
1006 380 108.0
380 1006 108.0
1006 406 107.0
406 1006 107.0
1006 412 106.0
412 1006 106.0
1006 702 104.0
702 1006 104.0
1006 704 108.0
704 1006 108.0
1006 745 104.0
745 1006 104.0
1006 767 101.0
767 1006 101.0
1006 910 106.0
910 1006 106.0
1006 914 104.0
914 1006 104.0
1007 18 101.0
18 1007 101.0
1007 22 103.0
22 1007 103.0
1007 146 106.0
146 1007 106.0
1007 220 102.0
220 1007 102.0
1007 223 107.0
223 1007 107.0
1007 238 107.0
238 1007 107.0
1007 239 109.0
239 1007 109.0
1007 309 109.0
309 1007 109.0
1007 429 110.0
429 1007 110.0
1007 477 105.0
477 1007 105.0
1007 535 110.0
535 1007 110.0
1007 557 105.0
557 1007 105.0
1007 581 107.0
581 1007 107.0
1007 643 109.0
643 1007 109.0
1007 682 106.0
682 1007 106.0
1007 796 110.0
796 1007 110.0
1007 799 106.0
799 1007 106.0
1007 801 109.0
801 1007 109.0
1007 866 103.0
866 1007 103.0
1007 880 103.0
880 1007 103.0
1007 908 102.0
908 1007 102.0
1007 982 103.0
982 1007 103.0
1008 29 105.0
29 1008 105.0
1008 33 105.0
33 1008 105.0
1008 68 104.0
68 1008 104.0
1008 112 110.0
112 1008 110.0
1008 187 101.0
187 1008 101.0
1008 245 108.0
245 1008 108.0
1008 285 103.0
285 1008 103.0
1008 343 102.0
343 1008 102.0
1008 367 107.0
367 1008 107.0
1008 391 106.0
391 1008 106.0
1008 408 109.0
408 1008 109.0
1008 418 108.0
418 1008 108.0
1008 444 110.0
444 1008 110.0
1008 535 110.0
535 1008 110.0
1008 569 110.0
569 1008 110.0
1008 575 108.0
575 1008 108.0
1008 631 105.0
631 1008 105.0
1008 632 103.0
632 1008 103.0
1008 662 110.0
662 1008 110.0
1008 705 104.0
705 1008 104.0
1008 747 106.0
747 1008 106.0
1008 770 105.0
770 1008 105.0
1008 773 107.0
773 1008 107.0
1008 775 104.0
775 1008 104.0
1008 803 101.0
803 1008 101.0
1008 856 102.0
856 1008 102.0
1008 864 104.0
864 1008 104.0
1008 910 109.0
910 1008 109.0
1008 951 107.0
951 1008 107.0
1008 976 108.0
976 1008 108.0
1008 997 104.0
997 1008 104.0
1009 21 106.0
21 1009 106.0
1009 127 104.0
127 1009 104.0
1009 185 109.0
185 1009 109.0
1009 294 105.0
294 1009 105.0
1009 347 103.0
347 1009 103.0
1009 440 101.0
440 1009 101.0
1009 473 105.0
473 1009 105.0
1009 504 102.0
504 1009 102.0
1009 520 110.0
520 1009 110.0
1009 527 109.0
527 1009 109.0
1009 590 103.0
590 1009 103.0
1009 603 109.0
603 1009 109.0
1009 763 105.0
763 1009 105.0
1009 884 107.0
884 1009 107.0
1009 895 106.0
895 1009 106.0
1009 939 103.0
939 1009 103.0
1010 103 102.0
103 1010 102.0
1010 174 104.0
174 1010 104.0
1010 290 102.0
290 1010 102.0
1010 343 103.0
343 1010 103.0
1010 350 105.0
350 1010 105.0
1010 397 103.0
397 1010 103.0
1010 456 109.0
456 1010 109.0
1010 488 110.0
488 1010 110.0
1010 523 110.0
523 1010 110.0
1010 536 109.0
536 1010 109.0
1010 665 105.0
665 1010 105.0
1010 766 107.0
766 1010 107.0
1010 775 101.0
775 1010 101.0
1010 847 102.0
847 1010 102.0
1010 852 110.0
852 1010 110.0
1010 871 101.0
871 1010 101.0
1010 874 109.0
874 1010 109.0
1010 877 103.0
877 1010 103.0
1010 959 107.0
959 1010 107.0
1010 987 108.0
987 1010 108.0
1010 996 104.0
996 1010 104.0
1010 1000 110.0
1000 1010 110.0
1011 34 109.0
34 1011 109.0
1011 54 107.0
54 1011 107.0
1011 69 106.0
69 1011 106.0
1011 103 103.0
103 1011 103.0
1011 266 109.0
266 1011 109.0
1011 484 104.0
484 1011 104.0
1011 535 108.0
535 1011 108.0
1011 568 103.0
568 1011 103.0
1011 613 103.0
613 1011 103.0
1011 621 110.0
621 1011 110.0
1011 630 109.0
630 1011 109.0
1011 652 110.0
652 1011 110.0
1011 689 105.0
689 1011 105.0
1011 774 106.0
774 1011 106.0
1011 869 104.0
869 1011 104.0
1012 19 103.0
19 1012 103.0
1012 91 106.0
91 1012 106.0
1012 155 106.0
155 1012 106.0
1012 163 105.0
163 1012 105.0
1012 207 104.0
207 1012 104.0
1012 275 103.0
275 1012 103.0
1012 329 106.0
329 1012 106.0
1012 348 110.0
348 1012 110.0
1012 429 105.0
429 1012 105.0
1012 435 105.0
435 1012 105.0
1012 438 110.0
438 1012 110.0
1012 488 109.0
488 1012 109.0
1012 505 110.0
505 1012 110.0
1012 560 108.0
560 1012 108.0
1012 562 110.0
562 1012 110.0
1012 608 104.0
608 1012 104.0
1012 719 101.0
719 1012 101.0
1012 734 110.0
734 1012 110.0
1012 761 101.0
761 1012 101.0
1012 788 101.0
788 1012 101.0
1012 804 108.0
804 1012 108.0
1012 828 104.0
828 1012 104.0
1012 867 108.0
867 1012 108.0
1012 871 109.0
871 1012 109.0
1012 932 109.0
932 1012 109.0
1012 975 103.0
975 1012 103.0
1013 128 102.0
128 1013 102.0
1013 163 110.0
163 1013 110.0
1013 202 110.0
202 1013 110.0
1013 206 107.0
206 1013 107.0
1013 234 108.0
234 1013 108.0
1013 291 101.0
291 1013 101.0
1013 309 103.0
309 1013 103.0
1013 319 101.0
319 1013 101.0
1013 325 105.0
325 1013 105.0
1013 403 110.0
403 1013 110.0
1013 405 102.0
405 1013 102.0
1013 482 110.0
482 1013 110.0
1013 655 101.0
655 1013 101.0
1013 656 106.0
656 1013 106.0
1013 685 106.0
685 1013 106.0
1013 707 101.0
707 1013 101.0
1013 731 110.0
731 1013 110.0
1013 843 107.0
843 1013 107.0
1013 894 107.0
894 1013 107.0
1013 938 107.0
938 1013 107.0
1013 952 107.0
952 1013 107.0
1013 992 104.0
992 1013 104.0
1014 48 107.0
48 1014 107.0
1014 173 104.0
173 1014 104.0
1014 183 110.0
183 1014 110.0
1014 191 106.0
191 1014 106.0
1014 280 101.0
280 1014 101.0
1014 461 105.0
461 1014 105.0
1014 568 102.0
568 1014 102.0
1014 577 106.0
577 1014 106.0
1014 605 101.0
605 1014 101.0
1014 631 109.0
631 1014 109.0
1014 791 101.0
791 1014 101.0
1014 812 102.0
812 1014 102.0
1014 818 103.0
818 1014 103.0
1014 836 101.0
836 1014 101.0
1014 963 109.0
963 1014 109.0
1015 12 109.0
12 1015 109.0
1015 113 108.0
113 1015 108.0
1015 125 110.0
125 1015 110.0
1015 140 102.0
140 1015 102.0
1015 298 102.0
298 1015 102.0
1015 321 102.0
321 1015 102.0
1015 354 107.0
354 1015 107.0
1015 379 101.0
379 1015 101.0
1015 434 102.0
434 1015 102.0
1015 455 107.0
455 1015 107.0
1015 516 109.0
516 1015 109.0
1015 540 102.0
540 1015 102.0
1015 563 102.0
563 1015 102.0
1015 604 105.0
604 1015 105.0
1015 616 106.0
616 1015 106.0
1015 667 106.0
667 1015 106.0
1015 791 104.0
791 1015 104.0
1015 819 105.0
819 1015 105.0
1015 852 107.0
852 1015 107.0
1015 854 106.0
854 1015 106.0
1015 867 107.0
867 1015 107.0
1015 929 110.0
929 1015 110.0
1016 59 102.0
59 1016 102.0
1016 65 108.0
65 1016 108.0
1016 145 105.0
145 1016 105.0
1016 247 110.0
247 1016 110.0
1016 259 108.0
259 1016 108.0
1016 260 105.0
260 1016 105.0
1016 298 105.0
298 1016 105.0
1016 307 105.0
307 1016 105.0
1016 339 110.0
339 1016 110.0
1016 359 104.0
359 1016 104.0
1016 416 110.0
416 1016 110.0
1016 437 106.0
437 1016 106.0
1016 479 106.0
479 1016 106.0
1016 527 107.0
527 1016 107.0
1016 626 104.0
626 1016 104.0
1016 803 104.0
803 1016 104.0
1016 909 110.0
909 1016 110.0
1016 971 104.0
971 1016 104.0
1016 983 109.0
983 1016 109.0
1017 29 103.0
29 1017 103.0
1017 30 109.0
30 1017 109.0
1017 123 110.0
123 1017 110.0
1017 345 107.0
345 1017 107.0
1017 347 104.0
347 1017 104.0
1017 427 106.0
427 1017 106.0
1017 467 105.0
467 1017 105.0
1017 527 106.0
527 1017 106.0
1017 539 103.0
539 1017 103.0
1017 544 110.0
544 1017 110.0
1017 560 103.0
560 1017 103.0
1017 561 107.0
561 1017 107.0
1017 618 108.0
618 1017 108.0
1017 687 107.0
687 1017 107.0
1017 841 104.0
841 1017 104.0
1017 863 106.0
863 1017 106.0
1017 905 107.0
905 1017 107.0
1017 951 107.0
951 1017 107.0
1018 62 101.0
62 1018 101.0
1018 77 108.0
77 1018 108.0
1018 103 103.0
103 1018 103.0
1018 142 106.0
142 1018 106.0
1018 235 101.0
235 1018 101.0
1018 306 109.0
306 1018 109.0
1018 307 102.0
307 1018 102.0
1018 383 103.0
383 1018 103.0
1018 393 103.0
393 1018 103.0
1018 488 107.0
488 1018 107.0
1018 516 101.0
516 1018 101.0
1018 532 108.0
532 1018 108.0
1018 538 104.0
538 1018 104.0
1018 568 110.0
568 1018 110.0
1018 602 104.0
602 1018 104.0
1018 653 110.0
653 1018 110.0
1018 659 109.0
659 1018 109.0
1018 667 102.0
667 1018 102.0
1018 689 103.0
689 1018 103.0
1018 694 105.0
694 1018 105.0
1018 701 101.0
701 1018 101.0
1018 702 104.0
702 1018 104.0
1018 885 105.0
885 1018 105.0
1018 886 107.0
886 1018 107.0
1018 943 102.0
943 1018 102.0
1019 30 102.0
30 1019 102.0
1019 64 102.0
64 1019 102.0
1019 91 105.0
91 1019 105.0
1019 155 110.0
155 1019 110.0
1019 213 110.0
213 1019 110.0
1019 218 101.0
218 1019 101.0
1019 226 103.0
226 1019 103.0
1019 256 106.0
256 1019 106.0
1019 374 110.0
374 1019 110.0
1019 444 106.0
444 1019 106.0
1019 502 105.0
502 1019 105.0
1019 563 105.0
563 1019 105.0
1019 716 108.0
716 1019 108.0
1019 802 103.0
802 1019 103.0
1019 811 105.0
811 1019 105.0
1019 824 101.0
824 1019 101.0
1019 825 105.0
825 1019 105.0
