N 17127
M 54704
R 250
# u v length
305 4463 22.0
4463 305 22.0
4462 4463 6.0
4463 4462 6.0
4462 4471 31.0
4471 4462 31.0
4462 4470 38.0
4470 4462 38.0
4463 4472 31.0
4472 4463 31.0
350 4464 2.0
4464 350 2.0
350 4463 40.0
4463 350 40.0
4464 4465 18.0
4465 4464 18.0
4464 4474 29.0
4474 4464 29.0
4465 4468 22.0
4468 4465 22.0
410 4466 12.0
4466 410 12.0
410 4465 32.0
4465 410 32.0
4466 4467 29.0
4467 4466 29.0
4466 4469 10.0
4469 4466 10.0
472 4467 11.0
4467 472 11.0
4468 4469 32.0
4469 4468 32.0
454 4469 29.0
4469 454 29.0
454 4467 10.0
4467 454 10.0
2215 4480 51.0
4480 2215 51.0
2215 2219 52.0
2219 2215 52.0
4470 4471 7.0
4471 4470 7.0
4471 4472 6.0
4472 4471 6.0
4471 4475 7.0
4475 4471 7.0
4472 4473 17.0
4473 4472 17.0
4472 4476 7.0
4476 4472 7.0
4473 4474 23.0
4474 4473 23.0
373 4474 18.0
4474 373 18.0
373 4468 7.0
4468 373 7.0
288 4475 7.0
4475 288 7.0
288 4477 22.0
4477 288 22.0
288 4470 7.0
4470 288 7.0
4475 4476 6.0
4476 4475 6.0
4475 4478 22.0
4478 4475 22.0
4476 4479 22.0
4479 4476 22.0
4477 4478 7.0
4478 4477 7.0
4478 4479 6.0
4479 4478 6.0
4478 4482 28.0
4482 4478 28.0
321 4483 28.0
4483 321 28.0
321 4479 17.0
4479 321 17.0
321 4473 29.0
4473 321 29.0
831 832 20.0
832 831 20.0
4480 4486 13.0
4486 4480 13.0
2235 4480 8.0
4480 2235 8.0
832 4481 2.0
4481 832 2.0
4481 4491 38.0
4491 4481 38.0
874 4484 1.0
4484 874 1.0
874 4481 30.0
4481 874 30.0
275 4482 19.0
4482 275 19.0
275 4487 9.0
4487 275 9.0
275 4477 40.0
4477 275 40.0
4482 4483 23.0
4483 4482 23.0
4482 4489 23.0
4489 4482 23.0
4483 4490 23.0
4490 4483 23.0
4484 4508 48.0
4508 4484 48.0
932 4512 51.0
4512 932 51.0
932 4484 30.0
4484 932 30.0
2105 4485 9.0
4485 2105 9.0
2162 4486 28.0
4486 2162 28.0
2162 4485 22.0
4485 2162 22.0
