N 1024
M 10240
R 150
# u v length
1 513 100.0
513 1 100.0
1 257 101.0
257 1 101.0
1 129 108.0
129 1 108.0
1 65 105.0
65 1 105.0
1 33 105.0
33 1 105.0
1 17 102.0
17 1 102.0
1 9 100.0
9 1 100.0
1 5 107.0
5 1 107.0
1 3 107.0
3 1 107.0
1 2 110.0
2 1 110.0
2 514 104.0
514 2 104.0
2 258 105.0
258 2 105.0
2 130 109.0
130 2 109.0
2 66 100.0
66 2 100.0
2 34 100.0
34 2 100.0
2 18 105.0
18 2 105.0
2 10 107.0
10 2 107.0
2 6 100.0
6 2 100.0
2 4 104.0
4 2 104.0
3 515 100.0
515 3 100.0
3 259 104.0
259 3 104.0
3 131 107.0
131 3 107.0
3 67 106.0
67 3 106.0
3 35 110.0
35 3 110.0
3 19 109.0
19 3 109.0
3 11 105.0
11 3 105.0
3 7 101.0
7 3 101.0
3 4 107.0
4 3 107.0
4 516 104.0
516 4 104.0
4 260 107.0
260 4 107.0
4 132 110.0
132 4 110.0
4 68 108.0
68 4 108.0
4 36 102.0
36 4 102.0
4 20 100.0
20 4 100.0
4 12 108.0
12 4 108.0
4 8 103.0
8 4 103.0
5 517 106.0
517 5 106.0
5 261 108.0
261 5 108.0
5 133 110.0
133 5 110.0
5 69 104.0
69 5 104.0
5 37 102.0
37 5 102.0
5 21 110.0
21 5 110.0
5 13 107.0
13 5 107.0
5 7 108.0
7 5 108.0
5 6 107.0
6 5 107.0
6 518 100.0
518 6 100.0
6 262 106.0
262 6 106.0
6 134 109.0
134 6 109.0
6 70 102.0
70 6 102.0
6 38 104.0
38 6 104.0
6 22 108.0
22 6 108.0
6 14 105.0
14 6 105.0
6 8 102.0
8 6 102.0
7 519 103.0
519 7 103.0
7 263 103.0
263 7 103.0
7 135 101.0
135 7 101.0
7 71 105.0
71 7 105.0
7 39 109.0
39 7 109.0
7 23 110.0
23 7 110.0
7 15 100.0
15 7 100.0
7 8 109.0
8 7 109.0
8 520 105.0
520 8 105.0
8 264 105.0
264 8 105.0
8 136 103.0
136 8 103.0
8 72 110.0
72 8 110.0
8 40 105.0
40 8 105.0
8 24 102.0
24 8 102.0
8 16 100.0
16 8 100.0
9 521 110.0
521 9 110.0
9 265 100.0
265 9 100.0
9 137 105.0
137 9 105.0
9 73 104.0
73 9 104.0
9 41 103.0
41 9 103.0
9 25 110.0
25 9 110.0
9 13 105.0
13 9 105.0
9 11 105.0
11 9 105.0
9 10 110.0
10 9 110.0
10 522 100.0
522 10 100.0
10 266 108.0
266 10 108.0
10 138 108.0
138 10 108.0
10 74 109.0
74 10 109.0
10 42 101.0
42 10 101.0
10 26 100.0
26 10 100.0
10 14 107.0
14 10 107.0
10 12 109.0
12 10 109.0
11 523 106.0
523 11 106.0
11 267 108.0
267 11 108.0
11 139 107.0
139 11 107.0
11 75 110.0
75 11 110.0
11 43 109.0
43 11 109.0
11 27 102.0
27 11 102.0
11 15 103.0
15 11 103.0
11 12 103.0
12 11 103.0
12 524 105.0
524 12 105.0
12 268 106.0
268 12 106.0
12 140 109.0
140 12 109.0
12 76 104.0
76 12 104.0
12 44 109.0
44 12 109.0
12 28 102.0
28 12 102.0
12 16 104.0
16 12 104.0
13 525 105.0
525 13 105.0
13 269 105.0
269 13 105.0
13 141 103.0
141 13 103.0
13 77 101.0
77 13 101.0
13 45 101.0
45 13 101.0
13 29 106.0
29 13 106.0
13 15 108.0
15 13 108.0
13 14 100.0
14 13 100.0
14 526 105.0
526 14 105.0
14 270 105.0
270 14 105.0
14 142 110.0
142 14 110.0
14 78 108.0
78 14 108.0
14 46 106.0
46 14 106.0
14 30 109.0
30 14 109.0
14 16 106.0
16 14 106.0
15 527 109.0
527 15 109.0
15 271 101.0
271 15 101.0
15 143 102.0
143 15 102.0
15 79 107.0
79 15 107.0
15 47 101.0
47 15 101.0
15 31 101.0
31 15 101.0
15 16 103.0
16 15 103.0
16 528 100.0
528 16 100.0
16 272 104.0
272 16 104.0
16 144 100.0
144 16 100.0
16 80 107.0
80 16 107.0
16 48 110.0
48 16 110.0
16 32 102.0
32 16 102.0
17 529 101.0
529 17 101.0
17 273 103.0
273 17 103.0
17 145 109.0
145 17 109.0
17 81 107.0
81 17 107.0
17 49 101.0
49 17 101.0
17 25 107.0
25 17 107.0
17 21 104.0
21 17 104.0
17 19 104.0
19 17 104.0
17 18 105.0
18 17 105.0
18 530 101.0
530 18 101.0
18 274 106.0
274 18 106.0
18 146 109.0
146 18 109.0
18 82 106.0
82 18 106.0
18 50 110.0
50 18 110.0
18 26 106.0
26 18 106.0
18 22 101.0
22 18 101.0
18 20 110.0
20 18 110.0
19 531 104.0
531 19 104.0
19 275 101.0
275 19 101.0
19 147 106.0
147 19 106.0
19 83 102.0
83 19 102.0
19 51 105.0
51 19 105.0
19 27 105.0
27 19 105.0
19 23 110.0
23 19 110.0
19 20 101.0
20 19 101.0
20 532 102.0
532 20 102.0
20 276 103.0
276 20 103.0
20 148 106.0
148 20 106.0
20 84 101.0
84 20 101.0
20 52 107.0
52 20 107.0
20 28 106.0
28 20 106.0
20 24 108.0
24 20 108.0
21 533 102.0
533 21 102.0
21 277 105.0
277 21 105.0
21 149 104.0
149 21 104.0
21 85 102.0
85 21 102.0
21 53 100.0
53 21 100.0
21 29 109.0
29 21 109.0
21 23 104.0
23 21 104.0
21 22 101.0
22 21 101.0
22 534 110.0
534 22 110.0
22 278 104.0
278 22 104.0
22 150 101.0
150 22 101.0
22 86 109.0
86 22 109.0
22 54 101.0
54 22 101.0
22 30 101.0
30 22 101.0
22 24 100.0
24 22 100.0
23 535 104.0
535 23 104.0
23 279 102.0
279 23 102.0
23 151 101.0
151 23 101.0
23 87 108.0
87 23 108.0
23 55 105.0
55 23 105.0
23 31 103.0
31 23 103.0
23 24 104.0
24 23 104.0
24 536 108.0
536 24 108.0
24 280 110.0
280 24 110.0
24 152 107.0
152 24 107.0
24 88 102.0
88 24 102.0
24 56 107.0
56 24 107.0
24 32 109.0
32 24 109.0
25 537 102.0
537 25 102.0
25 281 109.0
281 25 109.0
25 153 105.0
153 25 105.0
25 89 105.0
89 25 105.0
25 57 106.0
57 25 106.0
25 29 108.0
29 25 108.0
25 27 108.0
27 25 108.0
25 26 105.0
26 25 105.0
26 538 110.0
538 26 110.0
26 282 106.0
282 26 106.0
26 154 104.0
154 26 104.0
26 90 109.0
90 26 109.0
26 58 107.0
58 26 107.0
26 30 107.0
30 26 107.0
26 28 110.0
28 26 110.0
27 539 110.0
539 27 110.0
27 283 109.0
283 27 109.0
27 155 103.0
155 27 103.0
27 91 105.0
91 27 105.0
27 59 105.0
59 27 105.0
27 31 101.0
31 27 101.0
27 28 104.0
28 27 104.0
28 540 106.0
540 28 106.0
28 284 109.0
284 28 109.0
28 156 104.0
156 28 104.0
28 92 108.0
92 28 108.0
28 60 109.0
60 28 109.0
28 32 107.0
32 28 107.0
29 541 108.0
541 29 108.0
29 285 107.0
285 29 107.0
29 157 108.0
157 29 108.0
29 93 100.0
93 29 100.0
29 61 109.0
61 29 109.0
29 31 105.0
31 29 105.0
29 30 105.0
30 29 105.0
30 542 100.0
542 30 100.0
30 286 107.0
