N 3716
M 13500
R 500
# u v length
1 23 82.0
23 1 82.0
1 19 78.0
19 1 78.0
2 705 34.0
705 2 34.0
2 2649 20.0
2649 2 20.0
2 1537 42.0
1537 2 42.0
3 1072 34.0
1072 3 34.0
3 2033 58.0
2033 3 58.0
3 2444 28.0
2444 3 28.0
3 353 42.0
353 3 42.0
4 610 56.0
610 4 56.0
4 2222 22.0
2222 4 22.0
4 3054 44.0
3054 4 44.0
5 1635 40.0
1635 5 40.0
5 3393 32.0
3393 5 32.0
5 221 32.0
221 5 32.0
5 523 48.0
523 5 48.0
6 694 4.0
694 6 4.0
6 1539 102.0
1539 6 102.0
6 1499 94.0
1499 6 94.0
7 1833 60.0
1833 7 60.0
7 678 140.0
678 7 140.0
7 1454 28.0
1454 7 28.0
7 2821 80.0
2821 7 80.0
8 2711 4.0
2711 8 4.0
8 1884 14.0
1884 8 14.0
8 2415 46.0
2415 8 46.0
9 1336 30.0
1336 9 30.0
9 2940 20.0
2940 9 20.0
9 352 44.0
352 9 44.0
9 3435 2.0
3435 9 2.0
10 3263 184.0
3263 10 184.0
10 1658 102.0
1658 10 102.0
10 2881 134.0
2881 10 134.0
11 1531 64.0
1531 11 64.0
11 2777 128.0
2777 11 128.0
11 2355 40.0
2355 11 40.0
11 3080 4.0
3080 11 4.0
12 1385 14.0
1385 12 14.0
12 1669 12.0
1669 12 12.0
12 909 52.0
909 12 52.0
12 1080 20.0
1080 12 20.0
13 393 160.0
393 13 160.0
13 482 150.0
482 13 150.0
13 951 166.0
951 13 166.0
13 1231 184.0
1231 13 184.0
14 3440 36.0
3440 14 36.0
14 866 62.0
866 14 62.0
14 2761 136.0
2761 14 136.0
15 1507 146.0
1507 15 146.0
15 1432 108.0
1432 15 108.0
15 1724 156.0
1724 15 156.0
15 3716 56.0
3716 15 56.0
16 1304 30.0
1304 16 30.0
16 3713 54.0
3713 16 54.0
16 1878 76.0
1878 16 76.0
17 2801 22.0
2801 17 22.0
17 484 16.0
484 17 16.0
17 3330 14.0
3330 17 14.0
18 1296 14.0
1296 18 14.0
18 266 88.0
266 18 88.0
18 547 72.0
547 18 72.0
18 1011 144.0
1011 18 144.0
19 2036 82.0
2036 19 82.0
19 41 58.0
41 19 58.0
20 1202 138.0
1202 20 138.0
20 3220 24.0
3220 20 24.0
20 3221 6.0
3221 20 6.0
20 1041 44.0
1041 20 44.0
21 1148 18.0
1148 21 18.0
21 3665 104.0
3665 21 104.0
21 2896 58.0
2896 21 58.0
22 754 66.0
754 22 66.0
22 3104 150.0
3104 22 150.0
22 1757 158.0
1757 22 158.0
22 1114 184.0
1114 22 184.0
23 60 98.0
60 23 98.0
23 2036 78.0
2036 23 78.0
24 1748 48.0
1748 24 48.0
24 3411 70.0
3411 24 70.0
24 821 8.0
821 24 8.0
25 787 42.0
787 25 42.0
25 2414 82.0
2414 25 82.0
25 3328 4.0
3328 25 4.0
25 3200 32.0
3200 25 32.0
26 1019 130.0
1019 26 130.0
26 1301 16.0
1301 26 16.0
26 3033 162.0
3033 26 162.0
26 622 100.0
622 26 100.0
27 3311 40.0
3311 27 40.0
27 2790 44.0
2790 27 44.0
27 1171 32.0
1171 27 32.0
28 2420 66.0
2420 28 66.0
28 2397 52.0
2397 28 52.0
28 3580 4.0
3580 28 4.0
29 3575 88.0
3575 29 88.0
29 2680 40.0
2680 29 40.0
29 2194 14.0
2194 29 14.0
29 147 32.0
147 29 32.0
30 1697 116.0
1697 30 116.0
30 2076 26.0
2076 30 26.0
30 3188 32.0
3188 30 32.0
30 280 30.0
280 30 30.0
31 750 166.0
750 31 166.0
31 3477 16.0
3477 31 16.0
31 455 60.0
455 31 60.0
31 3582 100.0
3582 31 100.0
32 582 84.0
582 32 84.0
32 1247 130.0
1247 32 130.0
32 1097 32.0
1097 32 32.0
32 632 36.0
632 32 36.0
33 405 10.0
405 33 10.0
33 1700 74.0
1700 33 74.0
33 1350 124.0
1350 33 124.0
33 2597 48.0
2597 33 48.0
34 2296 88.0
2296 34 88.0
34 2413 52.0
2413 34 52.0
34 1119 98.0
1119 34 98.0
34 2267 8.0
2267 34 8.0
35 1854 14.0
1854 35 14.0
35 3297 44.0
3297 35 44.0
35 1518 60.0
1518 35 60.0
36 3403 36.0
3403 36 36.0
36 2425 10.0
2425 36 10.0
36 3556 14.0
3556 36 14.0
37 1271 66.0
1271 37 66.0
37 1936 140.0
1936 37 140.0
37 1363 158.0
1363 37 158.0
37 1667 80.0
1667 37 80.0
38 156 38.0
156 38 38.0
38 3620 4.0
3620 38 4.0
38 1702 48.0
1702 38 48.0
38 2987 30.0
2987 38 30.0
39 1652 94.0
1652 39 94.0
39 3469 104.0
3469 39 104.0
39 2171 44.0
2171 39 44.0
40 3455 26.0
3455 40 26.0
40 3092 10.0
3092 40 10.0
40 2183 42.0
2183 40 42.0
41 2778 154.0
2778 41 154.0
41 65 70.0
65 41 70.0
42 1681 40.0
1681 42 40.0
42 2722 66.0
2722 42 66.0
42 636 4.0
636 42 4.0
42 1561 38.0
1561 42 38.0
43 922 20.0
922 43 20.0
43 1177 20.0
1177 43 20.0
43 3360 18.0
3360 43 18.0
43 3008 14.0
3008 43 14.0
44 1489 4.0
1489 44 4.0
44 898 6.0
898 44 6.0
44 3061 44.0
3061 44 44.0
44 2207 56.0
2207 44 56.0
45 1230 98.0
1230 45 98.0
45 348 170.0
348 45 170.0
45 3129 56.0
3129 45 56.0
45 2854 118.0
2854 45 118.0
46 2058 36.0
2058 46 36.0
46 2266 20.0
2266 46 20.0
46 990 46.0
990 46 46.0
47 1153 52.0
1153 47 52.0
47 3321 40.0
3321 47 40.0
47 1915 64.0
1915 47 64.0
48 922 14.0
922 48 14.0
48 3008 20.0
3008 48 20.0
48 1808 94.0
1808 48 94.0
49 1008 50.0
1008 49 50.0
49 2007 22.0
2007 49 22.0
49 3588 10.0
3588 49 10.0
49 500 18.0
500 49 18.0
50 2915 124.0
2915 50 124.0
50 1513 16.0
1513 50 16.0
50 674 88.0
674 50 88.0
50 2242 100.0
2242 50 100.0
51 2310 24.0
2310 51 24.0
51 3653 60.0
3653 51 60.0
51 3664 94.0
3664 51 94.0
51 108 30.0
108 51 30.0
52 3587 92.0
3587 52 92.0
52 2345 46.0
2345 52 46.0
52 207 80.0
207 52 80.0
52 53 200.0
53 52 200.0
53 1714 92.0
1714 53 92.0
53 1433 80.0
1433 53 80.0
53 2480 10.0
2480 53 10.0
54 2178 4.0
2178 54 4.0
54 1132 92.0
1132 54 92.0
54 1423 46.0
1423 54 46.0
55 2465 78.0
2465 55 78.0
55 3315 82.0
3315 55 82.0
55 2655 2.0
2655 55 2.0
55 2800 22.0
2800 55 22.0
56 3395 100.0
3395 56 100.0
56 2052 88.0
2052 56 88.0
56 3415 26.0
3415 56 26.0
56 1612 60.0
1612 56 60.0
57 1678 32.0
1678 57 32.0
57 3355 32.0
3355 57 32.0
57 536 42.0
536 57 42.0
57 1959 162.0
1959 57 162.0
58 629 4.0
629 58 4.0
58 1641 68.0
1641 58 68.0
58 3510 150.0
3510 58 150.0
59 2123 30.0
2123 59 30.0
59 2982 20.0
2982 59 20.0
59 2529 22.0
2529 59 22.0
59 3205 4.0
3205 59 4.0
60 71 44.0
71 60 44.0
60 672 78.0
672 60 78.0
61 1287 6.0
1287 61 6.0
61 3460 90.0
3460 61 90.0
61 3620 38.0
3620 61 38.0
61 156 4.0
156 61 4.0
62 1419 2.0
1419 62 2.0
62 219 76.0
219 62 76.0
62 2271 64.0
2271 62 64.0
62 1609 112.0
1609 62 112.0
63 3005 4.0
3005 63 4.0
63 3081 24.0
3081 63 24.0
63 2935 52.0
2935 63 52.0
63 1887 60.0
1887 63 60.0
64 486 44.0
486 64 44.0
64 615 8.0
615 64 8.0
64 2000 108.0
2000 64 108.0
65 2410 154.0
2410 65 154.0
65 93 84.0
93 65 84.0
66 685 72.0
685 66 72.0
66 721 28.0
721 66 28.0
66 2682 32.0
2682 66 32.0
66 3590 32.0
3590 66 32.0
67 542 44.0
542 67 44.0
67 1226 30.0
1226 67 30.0
67 2644 106.0
2644 67 106.0
68 1933 124.0
1933 68 124.0
68 1034 176.0
1034 68 176.0
68 2721 88.0
2721 68 88.0
68 1441 130.0
1441 68 130.0
69 704 22.0
704 69 22.0
69 549 26.0
549 69 26.0
69 1356 98.0
1356 69 98.0
69 1542 30.0
1542 69 30.0
70 717 46.0
717 70 46.0
70 2931 66.0
2931 70 66.0
70 2463 50.0
2463 70 50.0
70 2522 32.0
2522 70 32.0
71 105 124.0
105 71 124.0
71 2026 136.0
2026 71 136.0
72 1032 6.0
1032 72 6.0
72 2572 30.0
2572 72 30.0
72 1050 42.0
1050 72 42.0
73 403 36.0
403 73 36.0
73 3451 36.0
3451 73 36.0
73 2663 104.0
2663 73 104.0
74 554 22.0
554 74 22.0
74 2042 14.0
