time_s,LB,UB,nodes
0.15112018585205078,0.0,387.0,0
0.4589571952819824,1.0,387.0,0
4.292880058288574,1.0,22.0,0
6.8527021408081055,4.0,21.0,0
9.025788068771362,5.0,21.0,0
14.775704145431519,7.0,21.0,0
17.430593013763428,7.0,20.0,0
25.687657117843628,9.0,20.0,0
35.73179817199707,9.0,20.0,0
39.59838509559631,10.0,20.0,0
41.68544411659241,11.0,20.0,0
54.07613706588745,11.0,20.0,0
61.46572709083557,12.0,20.0,0
71.54720902442932,12.0,20.0,0
83.57719206809998,12.0,20.0,0
93.9283230304718,12.0,20.0,0
105.66803216934204,12.0,20.0,0
118.14000415802002,12.0,20.0,15
130.50151920318604,12.0,20.0,39
142.74269700050354,12.0,20.0,116
153.22135615348816,12.0,20.0,214
165.39379000663757,12.0,20.0,287
177.82908415794373,12.0,20.0,319
191.69168519973755,12.0,20.0,349
204.97448801994324,12.0,20.0,448
217.84929418563843,12.0,20.0,525
230.43212699890137,12.0,20.0,565
243.5123360157013,12.0,20.0,607
258.88667607307434,12.0,20.0,738
269.84411120414734,12.0,20.0,788
284.0210700035095,12.0,20.0,900
294.44491815567017,12.0,20.0,1038
306.7014830112457,12.0,20.0,1240
318.9660210609436,12.0,20.0,1508
331.5737872123718,12.0,20.0,1786
345.3354251384735,12.0,20.0,2040
365.6051290035248,12.0,20.0,2356
382.68280601501465,12.0,20.0,2618
392.79412817955017,12.0,20.0,2791
402.7967162132263,12.0,20.0,2952
412.88017416000366,12.0,20.0,3067
434.07241916656494,12.0,20.0,3310
446.10699009895325,12.0,20.0,3491
446.1085240840912,13.0,20.0,3515
458.1493980884552,13.0,20.0,3801
473.6064450740814,13.0,20.0,4051
484.6959571838379,13.0,20.0,4329
497.22505617141724,13.0,20.0,4678
509.57113003730774,13.0,20.0,4680
520.269278049469,13.0,20.0,4685
532.5909352302551,13.0,20.0,4695
543.9640181064606,13.0,20.0,4699
553.9806501865387,13.0,20.0,4707
561.1171982288361,14.0,20.0,4711
573.114098072052,14.0,20.0,4714
583.2846040725708,14.0,20.0,4718
594.516921043396,14.0,20.0,4723
607.0083861351013,14.0,20.0,4734
617.341334104538,15.0,20.0,4738
627.8602030277252,15.0,20.0,4741
638.0933561325073,15.0,20.0,4744
648.1003081798553,15.0,20.0,4748
668.8720891475677,15.0,20.0,4749
679.3517861366272,15.0,20.0,4750
693.2600071430206,15.0,20.0,4756
705.2702882289886,15.0,20.0,4764
717.0016250610352,15.0,20.0,4776
728.1976392269135,15.0,20.0,4790
740.4937300682068,15.0,20.0,4816
751.0932381153107,15.0,20.0,4842
768.3436110019684,15.0,20.0,4882
778.9182920455933,15.0,20.0,4905
789.3947200775146,15.0,20.0,4927
807.6605961322784,15.0,20.0,4975
825.5071730613708,15.0,20.0,5031
839.7381801605225,15.0,20.0,5070
850.0359511375427,15.0,20.0,5084
871.1769981384277,15.0,20.0,5126
885.5494711399078,15.0,20.0,5158
897.1056802272797,15.0,20.0,5197
908.705649137497,15.0,20.0,5233
918.9371140003204,15.0,20.0,5271
931.3112111091614,15.0,20.0,5307
942.0810511112213,15.0,20.0,5344
953.0999670028687,15.0,20.0,5384
964.5950810909271,15.0,20.0,5431
986.1953601837158,15.0,20.0,5486
1004.855152130127,15.0,20.0,5510
1016.2109880447388,15.0,20.0,5532
1029.9891340732574,15.0,20.0,5579
1044.7680010795593,15.0,20.0,5635
1059.126855134964,15.0,20.0,5696
1076.515584230423,15.0,20.0,5767
1093.9463732242584,15.0,20.0,5850
1110.0944612026215,15.0,20.0,5949
1126.7696812152863,15.0,20.0,6026
1144.4601700305939,15.0,20.0,6113
1163.449115037918,15.0,20.0,6206
1179.7501060962677,15.0,20.0,6301
1200.7302191257477,15.0,20.0,6325
1220.9317820072174,15.0,20.0,6422
1240.9366261959076,15.0,20.0,6541
1262.6855552196503,15.0,20.0,6676
1283.801012992859,15.0,20.0,6836
1307.062399148941,15.0,20.0,6997
1331.2788660526276,15.0,20.0,7122
1355.9430620670319,15.0,20.0,7196
1381.8054521083832,15.0,20.0,7305
1407.937138080597,15.0,20.0,7439
1435.5889201164246,15.0,20.0,7628
1466.1912021636963,15.0,20.0,7888
1496.3993320465088,15.0,20.0,8049
1525.921308040619,15.0,20.0,8230
1557.436772108078,15.0,20.0,8468
1593.8916330337524,15.0,20.0,8827
1624.5609600543976,15.0,20.0,9169
1659.2286930084229,15.0,20.0,9236
1690.2480721473694,15.0,20.0,9357
1720.9236261844635,15.0,20.0,9677
1760.5328810214996,15.0,20.0,9892
1799.5307440757751,15.0,20.0,10141
1839.3680720329285,15.0,20.0,10603
1879.5695941448212,15.0,20.0,11007
1926.5289330482483,15.0,20.0,11404
1967.997328042984,15.0,20.0,11912
2014.4588730335236,15.0,20.0,12264
2062.999481201172,15.0,20.0,12821
2117.380226135254,15.0,20.0,13756
2163.784059047699,15.0,20.0,14493
2216.0356130599976,15.0,20.0,14813
2266.1366209983826,15.0,20.0,15712
2322.3939261436462,15.0,20.0,16129
2375.575896024704,15.0,20.0,16791
2436.617138147354,15.0,20.0,17483
2503.58860707283,15.0,20.0,18358
2546.426884174347,15.0,20.0,19344
2593.9227991104126,15.0,20.0,19777
