time_s,LB,UB,nodes
0.07415485382080078,0.0,68.0,0
0.16227197647094727,1.0,68.0,0
2.72609281539917,1.0,9.0,0
3.716334819793701,3.0,9.0,0
6.7861549854278564,4.0,9.0,0
11.330951929092407,5.0,9.0,0
17.219244956970215,6.0,9.0,0
27.31447696685791,6.0,9.0,3
37.66866493225098,6.0,9.0,225
48.107292890548706,6.0,9.0,489
58.75601601600647,6.0,9.0,834
68.78764986991882,6.0,9.0,1263
80.99685001373291,6.0,9.0,2020
91.05568289756775,6.0,9.0,2171
101.26814293861389,6.0,9.0,2185
112.56677794456482,6.0,9.0,2196
118.12531089782715,7.0,9.0,2203
128.27660393714905,7.0,9.0,2210
138.7614529132843,7.0,9.0,2217
149.85822987556458,7.0,9.0,2223
162.01638197898865,7.0,9.0,2261
173.89100003242493,7.0,9.0,2494
184.49055290222168,7.0,9.0,2942
198.3991618156433,7.0,9.0,3144
210.77526092529297,7.0,9.0,3533
222.9220860004425,7.0,9.0,4001
233.69577288627625,7.0,9.0,4730
243.76060891151428,7.0,9.0,5508
255.19842386245728,7.0,9.0,6324
266.7113518714905,7.0,9.0,7533
279.83696603775024,7.0,9.0,8865
279.8430869579315,8.0,9.0,9069
291.9534468650818,8.0,9.0,10238
305.8315408229828,8.0,9.0,11544
320.3616328239441,8.0,9.0,12997
332.1973078250885,8.0,9.0,13850
343.3275969028473,8.0,9.0,14912
355.6960229873657,8.0,9.0,16297
368.5686058998108,8.0,9.0,17602
385.91067695617676,8.0,9.0,18914
401.2324478626251,8.0,9.0,21111
416.1327209472656,8.0,9.0,22818
433.1518988609314,8.0,9.0,24499
449.51827096939087,8.0,9.0,26393
470.0138328075409,8.0,9.0,28182
480.1218388080597,8.0,9.0,29456
490.41484785079956,8.0,9.0,30524
501.6179509162903,8.0,9.0,31494
513.0594878196716,8.0,9.0,32799
523.9449980258942,8.0,9.0,34144
535.2904028892517,8.0,9.0,35322
628.884593963623,8.0,9.0,36419
641.4067809581757,8.0,9.0,36423
651.539913892746,8.0,9.0,36433
662.7996208667755,8.0,9.0,36443
673.2271158695221,8.0,9.0,36449
684.7414598464966,8.0,9.0,36455
695.0526769161224,8.0,9.0,36459
705.4892258644104,8.0,9.0,36465
715.7727990150452,8.0,9.0,36467
726.7868609428406,8.0,9.0,36471
736.844419002533,8.0,9.0,36477
746.9253399372101,8.0,9.0,36481
757.7513289451599,8.0,9.0,36486
768.2132019996643,8.0,9.0,36490
779.0536558628082,8.0,9.0,36494
789.6909739971161,8.0,9.0,36502
830.6490700244904,8.0,9.0,36505
841.1849889755249,8.0,9.0,36509
851.231241941452,8.0,9.0,36513
861.4542078971863,8.0,9.0,36516
871.7474768161774,8.0,9.0,36520
882.1868579387665,8.0,9.0,36525
892.6946189403534,8.0,9.0,36529
902.9260778427124,8.0,9.0,36533
913.171767950058,8.0,9.0,36537
924.8719608783722,8.0,9.0,36542
934.972678899765,8.0,9.0,36546
947.689610004425,8.0,9.0,36550
958.1412379741669,8.0,9.0,36554
968.605288028717,8.0,9.0,36558
978.627180814743,8.0,9.0,36563
989.6533010005951,8.0,9.0,36568
1001.7382299900055,8.0,9.0,36572
1012.1966419219971,8.0,9.0,36577
1022.7325859069824,8.0,9.0,36581
1032.945434808731,8.0,9.0,36586
1044.0925810337067,8.0,9.0,36590
1056.1292419433594,8.0,9.0,36596
1068.6279468536377,8.0,9.0,36600
1079.0874240398407,8.0,9.0,36604
1089.5131318569183,8.0,9.0,36610
1100.404914855957,8.0,9.0,36615
1112.0410850048065,8.0,9.0,36619
1122.4862668514252,8.0,9.0,36623
1132.6366398334503,8.0,9.0,36629
1143.4652960300446,8.0,9.0,36634
1155.5347888469696,8.0,9.0,36638
1165.7932319641113,8.0,9.0,36642
1176.051489830017,8.0,9.0,36647
1186.2905428409576,8.0,9.0,36651
1197.0058150291443,8.0,9.0,36656
1208.1077198982239,8.0,9.0,36660
1218.2822790145874,8.0,9.0,36662
1229.7212088108063,8.0,9.0,36685
1240.143299818039,8.0,9.0,36773
1251.8428118228912,8.0,9.0,36935
1262.1390199661255,8.0,9.0,37055
1273.8310708999634,8.0,9.0,37196
1285.108453989029,8.0,9.0,37398
1295.1213519573212,8.0,9.0,37602
1305.6197719573975,8.0,9.0,37777
1315.909215927124,8.0,9.0,38276
1327.0725638866425,8.0,9.0,39050
1338.369649887085,8.0,9.0,40629
1348.6238768100739,8.0,9.0,43177
1360.3596079349518,8.0,9.0,45184
1365.1357968149969,9.0,9.0,45613
