time_s,LB,UB,nodes
0.12283802032470703,0.0,503.0,0
0.12477684020996094,0.0,502.0,0
0.33213186264038086,1.0,502.0,0
1.113745927810669,1.0,25.0,0
2.462007999420166,8.0,24.0,0
8.7984938621521,11.0,24.0,0
14.163069009780884,12.0,24.0,0
24.292500972747803,12.0,24.0,0
27.175387859344482,14.0,24.0,0
37.719833850860596,14.0,24.0,0
45.85583782196045,15.0,24.0,0
67.17139291763306,15.0,24.0,0
73.84866499900818,16.0,24.0,12
88.51249504089355,16.0,24.0,43
101.21412491798401,16.0,24.0,175
113.18247103691101,16.0,24.0,314
124.02073287963867,16.0,24.0,417
134.83555603027344,16.0,24.0,603
145.9864900112152,16.0,24.0,844
156.62852597236633,16.0,24.0,1058
169.08724188804626,16.0,24.0,1419
181.77746105194092,16.0,24.0,1922
195.27550792694092,16.0,24.0,2477
208.5835099220276,16.0,24.0,2935
225.64172387123108,16.0,24.0,3153
237.63404202461243,16.0,24.0,3325
251.17058205604553,16.0,24.0,3613
263.13087797164917,16.0,24.0,3717
273.539510011673,16.0,24.0,3719
283.73955488204956,16.0,24.0,3726
294.1173539161682,16.0,24.0,3736
299.496013879776,17.0,24.0,3738
309.97501587867737,18.0,24.0,3744
319.98506784439087,18.0,24.0,3753
331.0262939929962,18.0,24.0,3759
342.36270904541016,18.0,24.0,3765
352.49495697021484,18.0,24.0,3767
362.8121359348297,18.0,24.0,3770
374.00142002105713,18.0,24.0,3775
378.2067768573761,19.0,24.0,3776
390.9316370487213,19.0,24.0,3780
401.6591398715973,19.0,24.0,3788
412.45147585868835,19.0,24.0,3791
425.1039228439331,19.0,24.0,3810
436.1506359577179,19.0,24.0,3817
446.3567569255829,19.0,24.0,3821
458.42659091949463,19.0,24.0,3825
474.120484828949,19.0,24.0,3832
485.02455592155457,19.0,24.0,3852
497.48813796043396,19.0,24.0,3897
510.5878119468689,19.0,24.0,3952
524.9065270423889,19.0,24.0,4015
538.6938898563385,19.0,24.0,4094
550.700080871582,19.0,24.0,4178
564.0990738868713,19.0,24.0,4261
576.2707698345184,19.0,24.0,4343
586.7598738670349,19.0,24.0,4404
597.5005848407745,19.0,24.0,4509
608.8160610198975,19.0,24.0,4615
619.9144778251648,19.0,24.0,4735
632.1011369228363,19.0,24.0,4900
644.6010110378265,19.0,24.0,5040
658.7903790473938,19.0,24.0,5223
675.1351869106293,19.0,24.0,5432
690.3736510276794,19.0,24.0,5628
706.1484868526459,19.0,24.0,6000
722.2992708683014,19.0,24.0,6459
