time_s,LB,UB,nodes
6.903863906860352,0.0,1e+100,0
174.53810501098633,9.0,1e+100,0
285.6553518772125,10.0,1e+100,0
571.3145558834076,10.0,17.0,0
639.1557838916779,10.0,17.0,0
1143.444587945938,10.0,16.0,0
1317.017138004303,10.0,16.0,0
1330.9301249980927,10.0,16.0,0
1457.8146500587463,10.0,16.0,0
1520.9082820415497,10.0,16.0,0
1589.8169889450073,10.0,16.0,0
1599.8319070339203,10.0,16.0,0
1735.9879670143127,10.0,16.0,0
1754.3513479232788,10.0,16.0,0
1809.637990951538,10.0,16.0,0
1857.436266899109,10.0,16.0,0
2128.3625049591064,10.0,16.0,0
2155.3742859363556,10.0,16.0,0
2179.0591728687286,10.0,16.0,0
2406.5317389965057,10.0,16.0,1
2599.976676940918,10.0,16.0,2
2903.018056869507,10.0,16.0,3
3466.3633918762207,10.0,16.0,6
3606.970874057006,10.0,16.0,11
