time_s,LB,UB,nodes
1.0212528705596924,1.0,336.0,0
19.154444932937622,9.0,336.0,0
35.74730205535889,9.0,336.0,0
76.02608895301819,9.0,13.0,0
98.80105805397034,9.0,13.0,0
152.38209700584412,9.0,13.0,0
192.78087496757507,9.0,13.0,0
217.156986951828,9.0,13.0,0
271.0758740901947,9.0,13.0,0
302.6228630542755,9.0,13.0,0
315.1308500766754,9.0,13.0,0
333.8345699310303,9.0,13.0,0
379.7352020740509,9.0,13.0,0
392.1463739871979,9.0,13.0,0
414.11409997940063,9.0,13.0,1
444.75260496139526,9.0,13.0,3
490.92775106430054,9.0,13.0,7
581.4477560520172,9.0,13.0,15
662.4620809555054,9.0,13.0,27
718.507719039917,9.0,13.0,52
796.0303800106049,9.0,13.0,64
870.1086719036102,9.0,13.0,78
927.9583349227905,9.0,13.0,93
1006.6031730175018,9.0,13.0,107
1053.7090570926666,9.0,13.0,121
1150.2212018966675,9.0,13.0,135
1216.9126698970795,9.0,13.0,148
1304.06081199646,9.0,13.0,166
1348.8216149806976,9.0,13.0,179
1410.6059339046478,9.0,13.0,191
1468.4031510353088,9.0,13.0,207
1528.0288729667664,9.0,13.0,225
1583.8382349014282,9.0,13.0,245
1653.037761926651,9.0,13.0,271
1718.7275500297546,9.0,13.0,303
1797.5357990264893,9.0,13.0,338
1874.0143239498138,9.0,13.0,370
1946.2119929790497,9.0,13.0,413
2013.0937099456787,9.0,13.0,461
2079.2990560531616,9.0,13.0,507
2157.9299750328064,9.0,13.0,555
2239.4308359622955,9.0,13.0,613
2315.833116054535,9.0,13.0,679
2392.415484905243,9.0,13.0,745
2461.335443019867,9.0,13.0,781
2532.3889400959015,9.0,13.0,809
2612.297816991806,9.0,13.0,839
2692.045963048935,9.0,13.0,899
2784.3278698921204,9.0,13.0,961
2884.446412086487,9.0,13.0,1008
2976.93918800354,9.0,13.0,1058
3080.955319881439,9.0,13.0,1112
3080.957720041275,10.0,13.0,1135
3180.339893102646,10.0,13.0,1149
3276.0606100559235,10.0,13.0,1191
3387.7428739070892,10.0,13.0,1244
3510.8339059352875,10.0,13.0,1303
3600.070652961731,10.0,13.0,1337
3601.850977293012,10.0,13.0,1399
