time_s,LB,UB,nodes
1.7311110496520996,2.0,1e+100,0
31.979450941085815,29.0,1e+100,0
70.52347707748413,29.0,1e+100,0
159.2920060157776,29.0,51.0,0
295.0488610267639,30.0,51.0,0
474.6074950695038,30.0,51.0,0
497.31201815605164,30.0,51.0,0
593.1388721466064,31.0,51.0,0
614.8783869743347,31.0,51.0,0
765.1707091331482,31.0,51.0,0
779.272341966629,31.0,51.0,0
832.6669220924377,31.0,51.0,0
859.5175089836121,31.0,51.0,0
875.4486789703369,31.0,51.0,0
982.3123400211334,31.0,51.0,0
1008.034157037735,31.0,51.0,0
1082.0933201313019,31.0,51.0,0
1094.3691370487213,31.0,51.0,0
1160.6989841461182,32.0,51.0,0
1171.2610161304474,32.0,51.0,0
1195.370999097824,32.0,51.0,0
1307.1842200756073,32.0,51.0,0
1325.768047094345,32.0,51.0,0
1367.936196088791,32.0,51.0,0
1383.6330790519714,32.0,51.0,0
1432.0722270011902,32.0,51.0,0
1699.9811220169067,32.0,49.0,0
1714.154294013977,32.0,49.0,0
1725.6354930400848,32.0,49.0,0
1890.4074580669403,32.0,49.0,0
1921.7764899730682,32.0,49.0,0
1953.9878690242767,32.0,49.0,0
2016.3669090270996,32.0,49.0,0
2068.598102092743,32.0,49.0,0
2097.239695072174,32.0,49.0,0
2110.6300230026245,32.0,49.0,0
2168.6464171409607,32.0,49.0,0
2415.3714439868927,32.0,47.0,0
2479.2000539302826,32.0,47.0,0
2571.232730150223,32.0,47.0,0
2595.592376947403,32.0,47.0,0
2620.3682940006256,32.0,47.0,0
2730.476938009262,32.0,47.0,0
2752.0455899238586,32.0,47.0,0
2763.7897329330444,32.0,47.0,0
2796.7572269439697,32.0,47.0,0
2820.393543958664,32.0,47.0,0
2835.0453729629517,32.0,47.0,0
2866.4478130340576,32.0,47.0,0
2920.681307077408,32.0,47.0,0
3427.1351211071014,32.0,47.0,0
3480.484230041504,32.0,47.0,0
3543.786311149597,32.0,47.0,0
3600.006989955902,32.0,47.0,1
3602.387790665991,32.0,47.0,2
