time_s,LB,UB,nodes
0.32549500465393066,34.0,1e+100,0
3.4679319858551025,63.0,1e+100,0
10.081178903579712,63.0,85.0,0
13.598538875579834,64.0,85.0,0
15.659778833389282,64.0,84.0,0
19.37091588973999,64.0,83.0,0
22.262768030166626,66.0,83.0,0
32.75119185447693,66.0,83.0,0
41.725589990615845,67.0,83.0,0
51.75640892982483,67.0,83.0,0
65.91030192375183,67.0,83.0,0
81.63759088516235,67.0,83.0,3
91.80649304389954,67.0,83.0,7
103.87168502807617,67.0,83.0,15
129.28497290611267,67.0,83.0,39
142.76162695884705,67.0,83.0,54
156.13333082199097,67.0,83.0,73
167.7503378391266,67.0,83.0,90
180.36636185646057,67.0,80.0,102
201.60701894760132,67.0,80.0,155
221.21586084365845,67.0,80.0,193
242.4919629096985,67.0,80.0,226
261.3827109336853,67.0,80.0,256
272.64066791534424,67.0,80.0,277
283.06904792785645,67.0,80.0,300
298.24624586105347,67.0,80.0,329
317.58225989341736,67.0,80.0,372
335.9718689918518,67.0,80.0,440
349.2898700237274,67.0,80.0,483
369.7410159111023,67.0,80.0,560
388.84706592559814,67.0,80.0,598
414.35306191444397,67.0,80.0,675
428.5577929019928,67.0,80.0,703
443.7606689929962,67.0,80.0,741
458.5245430469513,67.0,80.0,794
473.1440188884735,67.0,80.0,858
491.6961660385132,67.0,80.0,926
511.722571849823,67.0,80.0,1006
530.990051984787,67.0,80.0,1067
549.5738079547882,67.0,80.0,1139
569.8989470005035,67.0,80.0,1211
590.1882989406586,67.0,80.0,1304
612.8041968345642,67.0,80.0,1400
636.5227570533752,67.0,80.0,1483
656.5565228462219,67.0,80.0,1556
682.3619568347931,67.0,80.0,1651
705.0074229240417,67.0,80.0,1730
728.9174859523773,67.0,80.0,1822
756.2097909450531,67.0,80.0,1921
786.6672649383545,67.0,80.0,2019
799.5925159454346,67.0,80.0,2133
810.2214210033417,67.0,80.0,2135
820.2261550426483,67.0,80.0,2135
830.0951960086823,68.0,80.0,2138
840.457437992096,68.0,80.0,2139
850.2566149234772,69.0,80.0,2141
864.7906608581543,69.0,80.0,2144
876.1039869785309,69.0,80.0,2148
886.5018239021301,69.0,80.0,2149
899.8814148902893,69.0,80.0,2152
936.0730049610138,69.0,80.0,2154
958.5079538822174,69.0,80.0,2154
974.2703750133514,69.0,80.0,2157
987.1504249572754,69.0,80.0,2161
998.4137499332428,69.0,80.0,2169
1011.8298618793488,69.0,80.0,2181
1024.8038489818573,69.0,80.0,2203
1037.0001440048218,69.0,80.0,2218
1050.919589996338,69.0,80.0,2233
1065.7790360450745,69.0,80.0,2253
1078.1162219047546,69.0,80.0,2277
1091.9451048374176,69.0,80.0,2297
1106.3605840206146,69.0,80.0,2320
1119.8706810474396,69.0,80.0,2348
1140.614287853241,69.0,80.0,2401
1152.716080904007,69.0,80.0,2430
1164.8636820316315,69.0,80.0,2459
1183.1926398277283,69.0,80.0,2509
1193.5656888484955,69.0,80.0,2543
1213.2237458229065,69.0,80.0,2618
1223.960343837738,69.0,80.0,2655
1241.815405845642,69.0,80.0,2756
1241.8164060115814,70.0,80.0,2762
1257.133399963379,70.0,80.0,2807
1271.5986919403076,70.0,80.0,2854
1284.4775660037994,70.0,80.0,2902
1303.9997959136963,70.0,80.0,2994
1319.7645599842072,70.0,80.0,3058
1333.4484598636627,70.0,80.0,3133
1348.202752828598,70.0,80.0,3202
1366.2735359668732,70.0,80.0,3268
1380.8612048625946,70.0,80.0,3313
1398.8852598667145,70.0,80.0,3356
1414.2295789718628,70.0,80.0,3410
1426.7290229797363,70.0,80.0,3455
1438.8496179580688,70.0,80.0,3469
1451.3696808815002,70.0,80.0,3497
1467.0014770030975,70.0,80.0,3545
1482.6924588680267,70.0,80.0,3597
1505.723739862442,70.0,80.0,3657
1529.3414809703827,70.0,80.0,3763
1552.4552068710327,70.0,80.0,3891
1571.253800868988,70.0,80.0,3980
1593.2291839122772,70.0,80.0,4046
1619.4094648361206,70.0,80.0,4139
1642.8900308609009,70.0,80.0,4274
1668.9359929561615,70.0,80.0,4364
1699.8962588310242,70.0,80.0,4509
1728.2618868350983,70.0,80.0,4597
1758.7968108654022,70.0,80.0,4699
1788.5340209007263,70.0,80.0,4843
1823.229241847992,70.0,80.0,4970
1856.4539120197296,70.0,80.0,5137
1894.2817540168762,70.0,80.0,5286
1929.173262834549,70.0,80.0,5476
1962.6227359771729,70.0,80.0,5617
2001.1938889026642,70.0,80.0,5774
2039.5163509845734,70.0,80.0,5951
2082.8589618206024,70.0,80.0,6129
2082.85910487175,71.0,80.0,6130
2125.1411938667297,71.0,80.0,6341
2173.5617759227753,71.0,80.0,6536
2216.0877549648285,71.0,80.0,6777
2264.905690908432,71.0,80.0,6996
2315.139643907547,71.0,80.0,7311
2368.9471349716187,71.0,80.0,7510
2422.530205011368,71.0,80.0,7744
2476.28714799881,71.0,80.0,8006
2531.694829940796,71.0,80.0,8289
