time_s,LB,UB,nodes
0.07524800300598145,3.0,339.0,0
0.23489809036254883,5.0,339.0,0
0.5408639907836914,5.0,23.0,0
0.8186841011047363,8.0,23.0,0
2.0035860538482666,11.0,23.0,0
2.5131289958953857,13.0,23.0,0
3.668133020401001,16.0,23.0,0
5.505681991577148,17.0,23.0,0
6.961648941040039,18.0,23.0,0
7.588560104370117,19.0,23.0,0
9.357558965682983,20.0,23.0,0
16.418118953704834,21.0,23.0,265
27.061909914016724,21.0,23.0,1801
35.76268410682678,22.0,23.0,2337
45.916764974594116,22.0,23.0,3525
55.980002880096436,22.0,23.0,5486
66.62329292297363,22.0,23.0,7180
67.81747984599497,23.0,23.0,7208
