time_s,LB,UB,nodes
1.0925991535186768,0.0,338.0,0
7.12571907043457,7.0,338.0,0
19.449069023132324,7.0,12.0,0
34.1626980304718,7.0,12.0,0
52.7847900390625,7.0,12.0,0
67.13095211982727,7.0,12.0,0
96.57750201225281,8.0,12.0,0
107.40240812301636,8.0,12.0,0
124.93167400360107,8.0,12.0,0
143.1829731464386,8.0,12.0,1
157.51516914367676,8.0,12.0,3
181.142009973526,8.0,12.0,7
210.33938598632812,8.0,12.0,15
229.92525506019592,8.0,12.0,27
253.70898604393005,8.0,12.0,39
282.9477710723877,8.0,12.0,60
310.1624290943146,8.0,12.0,77
329.86901092529297,8.0,12.0,96
367.3316650390625,8.0,11.0,108
406.7071349620819,8.0,11.0,129
441.3175971508026,8.0,11.0,156
462.60557293891907,8.0,11.0,186
487.382581949234,8.0,11.0,197
515.8478889465332,8.0,11.0,210
555.6644401550293,8.0,11.0,227
583.4612419605255,8.0,11.0,240
612.4005789756775,8.0,11.0,263
642.0705070495605,8.0,11.0,287
673.0585739612579,8.0,11.0,305
701.7920610904694,8.0,11.0,322
727.8149509429932,8.0,11.0,347
750.1718051433563,8.0,11.0,377
771.8396890163422,8.0,11.0,411
793.6716611385345,8.0,11.0,444
809.5121500492096,8.0,11.0,485
841.5275881290436,8.0,11.0,518
870.2268741130829,8.0,11.0,560
893.3927590847015,8.0,11.0,615
921.6116449832916,8.0,11.0,710
945.8350751399994,8.0,11.0,785
976.8346090316772,8.0,11.0,797
1007.6372151374817,8.0,11.0,816
1036.3698890209198,8.0,11.0,839
1064.9261419773102,8.0,11.0,859
1095.2803480625153,8.0,11.0,881
1121.8041200637817,8.0,11.0,900
1151.9989941120148,8.0,11.0,916
1175.1581029891968,8.0,11.0,939
1200.0276420116425,8.0,11.0,960
1201.2146357690071,8.0,11.0,1021
