time_s,LB,UB,nodes
0.03800177574157715,4.0,1e+100,0
0.09083795547485352,6.0,1e+100,0
0.20501279830932617,7.0,74.0,0
0.29871487617492676,15.0,74.0,0
0.34860897064208984,15.0,71.0,0
0.4890618324279785,15.0,66.0,0
0.5138499736785889,15.0,64.0,0
1.2286009788513184,26.0,63.0,0
1.6125059127807617,28.0,62.0,0
1.9596829414367676,29.0,62.0,0
2.7682628631591797,35.0,62.0,0
2.8560409545898438,35.0,61.0,0
3.063372850418091,37.0,61.0,0
4.139994859695435,40.0,61.0,0
4.167412996292114,41.0,61.0,0
5.595333814620972,43.0,61.0,0
6.066181898117065,44.0,61.0,0
8.28132677078247,45.0,61.0,17
18.56714177131653,45.0,61.0,1284
27.615556001663208,46.0,61.0,3079
28.949946880340576,47.0,61.0,3085
31.255085945129395,48.0,61.0,3095
34.4832878112793,49.0,61.0,3106
44.48713278770447,49.0,61.0,3138
54.87285280227661,49.0,61.0,3174
58.62234377861023,50.0,61.0,3205
68.79388189315796,50.0,61.0,3973
79.06916284561157,50.0,61.0,5505
89.94690084457397,50.0,61.0,6315
100.07319688796997,50.0,61.0,7581
110.3618757724762,50.0,61.0,8668
121.28344297409058,50.0,61.0,9497
133.96824884414673,50.0,61.0,11144
145.00556182861328,50.0,61.0,12712
156.5180628299713,50.0,61.0,14069
168.36543488502502,50.0,61.0,15556
182.13510298728943,50.0,61.0,17202
192.93331098556519,50.0,61.0,18247
206.29371786117554,50.0,61.0,19781
219.5252058506012,50.0,61.0,21147
234.22379994392395,50.0,61.0,22732
249.51816391944885,50.0,61.0,25288
264.6565327644348,50.0,61.0,26924
282.29593896865845,50.0,61.0,29022
299.94990396499634,50.0,61.0,31790
318.8787398338318,50.0,61.0,33576
328.77026295661926,51.0,61.0,34887
338.86679792404175,51.0,61.0,35165
370.2830078601837,51.0,61.0,36241
380.2905569076538,51.0,61.0,36260
390.425274848938,51.0,61.0,36279
401.003613948822,51.0,61.0,36294
411.09345388412476,51.0,61.0,36310
421.82576394081116,51.0,61.0,36323
433.1548159122467,51.0,61.0,36324
443.93950295448303,51.0,61.0,36338
454.05255794525146,51.0,61.0,36354
464.75648188591003,51.0,61.0,36368
475.2732307910919,51.0,61.0,36382
478.3722369670868,52.0,61.0,36388
489.00499081611633,52.0,61.0,36403
499.5697407722473,52.0,61.0,36417
509.5790867805481,52.0,61.0,36434
520.1072947978973,52.0,61.0,36448
530.7451639175415,52.0,61.0,36465
541.2741549015045,52.0,61.0,36481
551.7176477909088,52.0,61.0,36494
562.2727890014648,52.0,61.0,36585
572.2995707988739,52.0,61.0,36810
582.8155808448792,52.0,61.0,36987
593.9236948490143,52.0,61.0,37405
605.4056417942047,52.0,61.0,37814
616.6177439689636,52.0,61.0,38202
627.7518758773804,52.0,61.0,38596
639.4050807952881,52.0,61.0,38851
650.5086648464203,52.0,61.0,39221
662.835245847702,52.0,61.0,39673
676.3621008396149,52.0,61.0,40250
691.9766547679901,52.0,61.0,41133
703.0422978401184,52.0,61.0,41627
715.3258099555969,52.0,61.0,42366
728.6804368495941,52.0,61.0,43224
743.0669338703156,52.0,61.0,44273
758.4786767959595,52.0,61.0,45350
775.366094827652,52.0,61.0,46317
794.3330948352814,52.0,61.0,47878
812.5883498191833,52.0,61.0,49582
823.0655999183655,52.0,61.0,50846
832.9042267799377,53.0,61.0,51272
844.0827679634094,53.0,61.0,51663
854.8978297710419,53.0,61.0,52503
865.2646098136902,53.0,61.0,53534
877.8498878479004,53.0,61.0,54516
897.4152188301086,53.0,61.0,54977
917.6947178840637,53.0,61.0,55844
935.282527923584,53.0,61.0,57117
949.7821178436279,53.0,61.0,58818
965.9911887645721,53.0,61.0,59753
981.6446528434753,53.0,61.0,61080
996.4628529548645,53.0,61.0,62266
1012.9314289093018,53.0,61.0,63585
1028.9015798568726,53.0,61.0,65266
1046.4773919582367,53.0,61.0,66525
1062.9508199691772,53.0,61.0,68097
1079.6560797691345,53.0,61.0,69127
1096.1347188949585,53.0,61.0,71199
1115.3076539039612,53.0,61.0,72732
1129.1298978328705,53.0,61.0,74510
1144.1908988952637,53.0,61.0,75586
1158.8321948051453,53.0,61.0,76652
1173.289747953415,53.0,61.0,78024
1189.5666768550873,53.0,61.0,78960
1200.0090539455414,53.0,61.0,80250
1200.1424833109995,53.0,61.0,81465
