time_s,LB,UB,nodes
0.2166149616241455,34.0,1e+100,0
1.8881299495697021,63.0,1e+100,0
3.9490039348602295,63.0,85.0,0
5.403414011001587,65.0,85.0,0
6.092427968978882,65.0,83.0,0
9.597532033920288,67.0,83.0,0
11.69893503189087,68.0,83.0,0
12.35365915298462,68.0,82.0,0
19.629815101623535,68.0,81.0,0
44.198817014694214,68.0,81.0,0
48.83850812911987,69.0,81.0,7
59.709821939468384,69.0,81.0,39
70.77682995796204,69.0,81.0,68
80.97440004348755,69.0,81.0,96
92.07134699821472,69.0,81.0,138
103.16641998291016,69.0,81.0,181
113.77821803092957,69.0,81.0,225
125.7846109867096,69.0,81.0,304
133.71489000320435,69.0,80.0,377
144.52668714523315,69.0,80.0,446
157.4712209701538,69.0,80.0,487
172.06208205223083,69.0,80.0,556
182.27273511886597,69.0,80.0,626
193.89973902702332,69.0,80.0,684
207.40052008628845,69.0,80.0,781
224.20861411094666,69.0,80.0,877
241.32603812217712,69.0,80.0,957
258.44834303855896,69.0,80.0,1083
276.4471981525421,69.0,80.0,1215
296.35706996917725,69.0,80.0,1361
306.52612709999084,69.0,80.0,1454
330.4677040576935,69.0,80.0,1725
342.13948011398315,69.0,80.0,1796
355.2725329399109,69.0,80.0,1882
369.94905614852905,69.0,80.0,2000
381.8971040248871,69.0,80.0,2114
390.0332190990448,70.0,80.0,2121
400.7186861038208,71.0,80.0,2129
410.7435610294342,71.0,80.0,2136
421.34439611434937,71.0,80.0,2142
436.3658630847931,71.0,80.0,2147
441.8347010612488,72.0,80.0,2153
452.63965702056885,72.0,80.0,2174
462.80101704597473,72.0,80.0,2211
476.72616600990295,72.0,80.0,2271
489.3749420642853,72.0,80.0,2325
500.9565460681915,72.0,80.0,2384
511.16176199913025,72.0,80.0,2453
523.3250539302826,72.0,80.0,2543
536.910961151123,72.0,80.0,2705
548.6761379241943,72.0,80.0,2844
561.7345161437988,72.0,80.0,2960
573.1574420928955,72.0,80.0,3075
586.706701040268,72.0,80.0,3214
599.4842820167542,72.0,80.0,3375
599.484472990036,73.0,80.0,3380
611.847892999649,73.0,80.0,3499
626.1689140796661,73.0,80.0,3636
640.7746810913086,73.0,80.0,3845
656.306205034256,73.0,80.0,4045
670.6140260696411,73.0,80.0,4289
688.3881499767303,73.0,80.0,4451
707.1265170574188,73.0,80.0,4701
717.1964049339294,73.0,80.0,4805
727.4267611503601,73.0,80.0,4943
738.2456350326538,73.0,80.0,5054
749.3669610023499,73.0,80.0,5259
761.05482006073,73.0,80.0,5449
773.5741980075836,73.0,80.0,5675
785.787572145462,73.0,80.0,5898
798.802353143692,73.0,80.0,6029
812.6643159389496,73.0,80.0,6199
826.0791110992432,73.0,80.0,6477
840.8714830875397,73.0,80.0,6647
840.872298002243,74.0,80.0,6722
852.5820679664612,74.0,80.0,6856
864.5172481536865,74.0,80.0,6868
877.099650144577,74.0,80.0,6880
890.4384241104126,74.0,80.0,6938
905.2862310409546,74.0,80.0,7064
920.454409122467,74.0,80.0,7206
938.0771870613098,74.0,80.0,7390
955.6474480628967,74.0,80.0,7603
973.139582157135,74.0,80.0,7911
993.4176211357117,74.0,80.0,8226
1013.4926850795746,74.0,80.0,8551
1034.7843661308289,74.0,80.0,8816
1056.4477050304413,74.0,80.0,9107
1079.4037749767303,74.0,80.0,9479
1102.4882769584656,74.0,80.0,9842
1126.4574160575867,74.0,80.0,10221
1150.7457721233368,74.0,80.0,10694
1176.5570621490479,74.0,80.0,11117
1200.0026190280914,74.0,80.0,11478
1200.2735643490014,74.0,80.0,11872
