instance,R,N_nodes,M_base,A_R,m,VI,candidatos,vars,cons,status,solcount,LI,LS,gap,runtime_s,nodes,timelimit
Barcelona_n930_m2522_st_25.txt,5,930,2522,32648,25,880,930,33578,2790,2,9,16.0,16.0,0.0,270.1866755230003,3326,False
Barcelona_n930_m2522_st_50.txt,6,930,2522,48353,50,830,930,49283,2790,9,8,11.000000000000412,14.0,0.21428571428568485,3600.238781983,57295,True
Philadelphia_n800_m2404_st_25.txt,3,800,2404,9837,25,750,800,10637,2400,9,9,42.0,47.0,0.10638297872340426,3600.085473789999,109183,True
bip42p.txt,200,1200,7964,7964,100,1000,1200,9164,3600,9,10,34.0,44.0,0.22727272727272727,3600.083235875998,17750,True
cc10-2u.txt,4,1024,10240,339124,67,890,1024,340148,3072,9,7,2.0,3.0,0.3333333333333333,3601.8667844560005,86468,True
hc10p.txt,150,1024,10240,10240,256,512,1024,11264,3072,9,10,51.0,85.0,0.4,3600.082238182,2648243,True
hc11p.txt,150,2048,22528,22528,512,1024,2048,24576,6144,9,10,88.0,162.0,0.4567901234567901,3600.4291003010003,70,True
hc12p.txt,150,4096,49152,49152,1024,2048,4096,53248,12288,9,10,149.0,308.0,0.5162337662337663,3600.5933331220003,1,True
hc9u.txt,1,512,4608,4608,128,256,512,5120,1536,9,10,31.0,41.0,0.24390243902439024,3600.0716752490043,26670,True
inst_Anaheim_n416_m914_st_19.txt,4,416,914,5509,19,378,416,5925,1248,2,8,28.0,28.0,0.0,59.921938002997194,21187,False
lin23.txt,500,3716,13500,565174,26,3664,3716,568890,11148,9,8,4.0,16.0,0.75,3603.2932635640027,98,True
