instance,R,N_nodes,M_base,A_R,m,VI,vars,cons,status,solcount,LI,LS,gap,runtime_s,nodes,timelimit
Anaheim_n416_m914_st_19.txt,4.0,416,914,5509,19,378,5887,1210,2,9,28.0,28.0,0.0,67.84646600199994,36656,False
Anaheim_n416_m914_st_19.txt,3.0,416,914,3224,19,378,3602,1210,2,10,45.0,45.0,0.0,150.64086363500246,82561,False
Anaheim_n416_m914_st_19.txt,2.0,416,914,1661,19,378,2039,1210,2,9,80.0,80.0,0.0,183.5235947049987,157914,False
Barcelona_n930_m2522_st_15.txt,5.0,930,2522,32648,15,900,33548,2760,2,10,15.0,15.0,0.0,106.89180816900625,3271,False
Barcelona_n930_m2522_st_15.txt,4.0,930,2522,20513,15,900,21413,2760,2,10,20.0,20.0,0.0,288.9573077639943,31276,False
Barcelona_n930_m2522_st_25.txt,5.0,930,2522,32648,25,880,33528,2740,9,6,15.0,16.0,0.0625,1200.2045334350114,36224,True
Barcelona_n930_m2522_st_25.txt,4.0,930,2522,20513,25,880,21393,2740,2,10,23.0,23.0,0.0,67.81747984599497,7208,False
Barcelona_n930_m2522_st_50.txt,6.0,930,2522,48353,50,830,49183,2690,9,6,10.0,14.0,0.2857142857142857,1200.2385455719996,14818,True
Barcelona_n930_m2522_st_50.txt,5.0,930,2522,32648,50,830,33478,2690,9,6,16.0,20.0,0.2,1200.2299165430013,30834,True
Barcelona_n930_m2522_st_50.txt,4.0,930,2522,20513,50,830,21343,2690,9,10,27.0,31.0,0.12903225806451613,1200.1884184890005,38796,True
Barcelona_n930_m2522_st_50.txt,3.0,930,2522,11284,50,830,12114,2690,9,10,50.0,55.0,0.09090909090909091,1200.1290739270044,67671,True
Philadelphia_n800_m2404_st_5.txt,8.0,800,2404,60025,5,790,60815,2390,2,5,6.0,6.0,0.0,26.507016352989012,1,False
Philadelphia_n800_m2404_st_5.txt,7.0,800,2404,46505,5,790,47295,2390,9,4,8.0,9.0,0.1111111111111111,1200.2365127910016,63832,True
Philadelphia_n800_m2404_st_5.txt,6.0,800,2404,34699,5,790,35489,2390,9,4,9.0,11.0,0.18181818181818182,1200.1881889049982,69965,True
Philadelphia_n800_m2404_st_5.txt,5.0,800,2404,24702,5,790,25492,2390,9,6,11.0,14.0,0.21428571428571427,1200.236930337007,51802,True
Philadelphia_n800_m2404_st_5.txt,4.0,800,2404,16420,5,790,17210,2390,9,7,16.0,17.0,0.058823529411764705,1200.1674465310061,85644,True
Philadelphia_n800_m2404_st_5.txt,3.0,800,2404,9837,5,790,10627,2390,9,4,21.0,26.0,0.19230769230769232,1200.1440173500014,65137,True
Philadelphia_n800_m2404_st_5.txt,2.0,800,2404,5015,5,790,5805,2390,9,5,38.0,41.0,0.07317073170731707,1200.060272717994,119636,True
Philadelphia_n800_m2404_st_25.txt,8.0,800,2404,60025,25,750,60775,2350,2,6,7.0,7.0,0.0,30.696178140991833,1,False
Philadelphia_n800_m2404_st_25.txt,7.0,800,2404,46505,25,750,47255,2350,2,4,10.0,10.0,0.0,401.91332609098754,11190,False
Philadelphia_n800_m2404_st_25.txt,6.0,800,2404,34699,25,750,35449,2350,2,5,14.0,14.0,0.0,1119.6566188290017,45294,False
Philadelphia_n800_m2404_st_25.txt,5.0,800,2404,24702,25,750,25452,2350,9,8,17.0,20.0,0.15,1200.2181468859926,38668,True
Philadelphia_n800_m2404_st_25.txt,4.0,800,2404,16420,25,750,17170,2350,9,9,26.0,31.0,0.16129032258064516,1200.1720294550032,36840,True
Philadelphia_n800_m2404_st_25.txt,3.0,800,2404,9837,25,750,10587,2350,9,10,40.0,46.0,0.13043478260869565,1200.1324467999948,94228,True
Philadelphia_n800_m2404_st_39.txt,5.0,800,2404,24702,39,722,25424,2322,9,10,20.0,23.0,0.13043478260869565,1200.1620415970028,40838,True
Philadelphia_n800_m2404_st_39.txt,4.0,800,2404,16420,39,722,17142,2322,9,10,31.0,37.0,0.16216216216216217,1200.1635690299954,42615,True
Philadelphia_n800_m2404_st_39.txt,3.0,800,2404,9837,39,722,10559,2322,9,10,53.0,61.0,0.13114754098360656,1200.1424833109995,81465,True
Chicago_n400_m1130_st5.txt,8.0,400,1130,12715,5,390,13105,1190,2,3,9.0,9.0,0.0,1.197842383000534,1,False
Chicago_n400_m1130_st5.txt,7.0,400,1130,10178,5,390,10568,1190,2,3,11.0,11.0,0.0,1.2503398910048418,1,False
Chicago_n400_m1130_st10.txt,9.0,400,1130,15471,10,380,15851,1180,2,4,10.0,10.0,0.0,139.65859346700017,35441,False
Chicago_n400_m1130_st10.txt,8.0,400,1130,12715,10,380,13095,1180,2,6,12.0,12.0,0.0,8.902588162993197,1079,False
Chicago_n400_m1130_st10.txt,7.0,400,1130,10178,10,380,10558,1180,2,7,16.0,16.0,0.0,63.32381875401188,11382,False
Chicago_n400_m1130_st15.txt,10.0,400,1130,18449,15,370,18819,1170,2,4,9.0,9.0,0.0,160.7772625439975,39227,False
Chicago_n400_m1130_st15.txt,9.0,400,1130,15471,15,370,15841,1170,2,5,11.0,11.0,0.0,14.116276447006385,2602,False
Chicago_n400_m1130_st15.txt,8.0,400,1130,12715,15,370,13085,1170,2,5,13.0,13.0,0.0,5.680471041996498,1,False
Chicago_n400_m1130_st15.txt,7.0,400,1130,10178,15,370,10548,1170,2,5,17.0,17.0,0.0,115.55797431500105,37181,False
