instance,R,N_nodes,M_base,A_R,m,VI,vars,cons,status,solcount,LI,LS,gap,runtime_s,nodes,timelimit
Anaheim_n416_m914_st_19.txt,4.0,416,914,5509,19,378,105410,23028,9,8,23.0,28.0,0.17857142857142858,1200.5258863679992,541,True,estendido_equiv
Anaheim_n416_m914_st_19.txt,3.0,416,914,3224,19,378,61995,23028,9,10,39.0,45.0,0.13333333333333333,1200.4814943070014,2193,True,estendido_equiv
Anaheim_n416_m914_st_19.txt,2.0,416,914,1661,19,378,32298,23028,9,10,74.0,80.0,0.075,1200.2735643490014,11872,True,estendido_equiv
Barcelona_n930_m2522_st_15.txt,5.0,930,2522,32648,15,900,490845,41430,9,6,11.0,16.0,0.3125,1202.0366802749995,16,True,estendido_equiv
Barcelona_n930_m2522_st_15.txt,4.0,930,2522,20513,15,900,308820,41430,9,9,16.0,20.0,0.2,1201.7376896589994,1,True,estendido_equiv
Barcelona_n930_m2522_st_25.txt,5.0,930,2522,32648,25,880,817705,68550,9,9,11.0,17.0,0.35294117647058826,1203.447877810002,1,True,estendido_equiv
Barcelona_n930_m2522_st_25.txt,4.0,930,2522,20513,25,880,514330,68550,9,10,19.0,23.0,0.17391304347826086,1202.4567884350035,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,6.0,930,2522,48353,50,830,2420980,134600,9,8,7.0,15.0,0.5333333333333333,1209.2908575699985,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,5.0,930,2522,32648,50,830,1635730,134600,9,10,10.0,23.0,0.5652173913043478,1207.3333464259995,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,4.0,930,2522,20513,50,830,1028980,134600,9,10,18.0,38.0,0.5263157894736842,1204.6508607529977,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,3.0,930,2522,11284,50,830,567530,134600,9,10,35.0,63.0,0.4444444444444444,1203.3750626010005,1,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,8.0,800,2404,60025,5,790,300940,11960,2,4,6.0,6.0,0.0,260.68451111500326,161,False,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,7.0,800,2404,46505,5,790,233340,11960,9,3,7.0,9.0,0.2222222222222222,1201.1557471599954,890,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,6.0,800,2404,34699,5,790,174310,11960,9,6,7.0,11.0,0.36363636363636365,1200.9929974039987,419,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,5.0,800,2404,24702,5,790,124325,11960,9,7,10.0,14.0,0.2857142857142857,1201.084553277993,1213,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,4.0,800,2404,16420,5,790,82915,11960,9,4,12.0,17.0,0.29411764705882354,1200.8138016819867,198,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,3.0,800,2404,9837,5,790,50000,11960,9,4,17.0,26.0,0.34615384615384615,1200.6391719790117,841,True,estendido_equiv
