instance,R,N_nodes,M_base,A_R,m,VI,vars,cons,status,solcount,LI,LS,gap,runtime_s,nodes,timelimit
Barcelona_n930_m2522_st_15.txt,5.0,930,2522,32648,15,900,33548,1860,2,9,15.0,15.0,0.0,491.23742222299916,7340,False
Barcelona_n930_m2522_st_15.txt,4.0,930,2522,20513,15,900,21413,1860,2,10,20.0,20.0,0.0,868.7147889869957,30611,False
Barcelona_n930_m2522_st_25.txt,5.0,930,2522,32648,25,880,33528,1860,2,8,16.0,16.0,0.0,920.8694951830112,18724,False
Barcelona_n930_m2522_st_25.txt,4.0,930,2522,20513,25,880,21393,1860,2,8,23.0,23.0,0.0,370.3822653120005,3694,False
Barcelona_n930_m2522_st_50.txt,6.0,930,2522,48353,50,830,49183,1860,9,7,11.0,14.0,0.21428571428571427,3600.4466707200045,16302,True
Barcelona_n930_m2522_st_50.txt,5.0,930,2522,32648,50,830,33478,1860,9,5,15.0,20.0,0.25,3600.486997205997,32711,True
Barcelona_n930_m2522_st_50.txt,4.0,930,2522,20513,50,830,21343,1860,9,10,27.0,32.0,0.15625,3600.369231549994,38193,True
Barcelona_n930_m2522_st_50.txt,3.0,930,2522,11284,50,830,12114,1860,9,10,50.0,55.0,0.09090909090909091,3600.269813983992,89016,True
Chicago_n400_m1130_st10.txt,9.0,400,1130,15471,10,380,15851,800,2,6,10.0,10.0,0.0,320.25889990100404,20833,False
Chicago_n400_m1130_st10.txt,8.0,400,1130,12715,10,380,13095,800,2,5,12.0,12.0,0.0,28.238877797004534,1,False
Chicago_n400_m1130_st10.txt,7.0,400,1130,10178,10,380,10558,800,2,6,16.0,16.0,0.0,154.74440445299842,18916,False
Chicago_n400_m1130_st15.txt,10.0,400,1130,18449,15,370,18819,800,2,4,9.0,9.0,0.0,1365.1357968149969,45613,False
Chicago_n400_m1130_st15.txt,9.0,400,1130,15471,15,370,15841,800,2,5,11.0,11.0,0.0,155.73608006899303,2517,False
Chicago_n400_m1130_st15.txt,8.0,400,1130,12715,15,370,13085,800,2,6,13.0,13.0,0.0,91.53864157499629,4335,False
Chicago_n400_m1130_st15.txt,7.0,400,1130,10178,15,370,10548,800,2,5,17.0,17.0,0.0,398.9835321110004,64617,False
Chicago_n400_m1130_st5.txt,8.0,400,1130,12715,5,390,13105,800,2,4,9.0,9.0,0.0,4.819384300004458,1,False
Chicago_n400_m1130_st5.txt,7.0,400,1130,10178,5,390,10568,800,2,4,11.0,11.0,0.0,5.604208613993251,1,False
Philadelphia_n800_m2404_st_25.txt,8.0,800,2404,60025,25,750,60775,1600,2,4,7.0,7.0,0.0,325.15128455399827,1723,False
Philadelphia_n800_m2404_st_25.txt,7.0,800,2404,46505,25,750,47255,1600,9,4,9.0,10.0,0.1,3600.731964159,55571,True
Philadelphia_n800_m2404_st_25.txt,6.0,800,2404,34699,25,750,35449,1600,2,4,14.0,14.0,0.0,1850.2886663350073,36431,False
Philadelphia_n800_m2404_st_25.txt,5.0,800,2404,24702,25,750,25452,1600,9,8,17.0,20.0,0.15,3600.4921994640026,42839,True
Philadelphia_n800_m2404_st_25.txt,4.0,800,2404,16420,25,750,17170,1600,9,10,26.0,29.0,0.10344827586206896,3600.3051015820092,48604,True
Philadelphia_n800_m2404_st_25.txt,3.0,800,2404,9837,25,750,10587,1600,9,9,41.0,47.0,0.1276595744680851,3600.215784977001,103004,True
Philadelphia_n800_m2404_st_39.txt,5.0,800,2404,24702,39,722,25424,1600,9,10,20.0,22.0,0.09090909090909091,3600.2619292079908,41872,True
Philadelphia_n800_m2404_st_39.txt,4.0,800,2404,16420,39,722,17142,1600,9,10,33.0,37.0,0.10810810810810811,3600.3217025399936,61305,True
Philadelphia_n800_m2404_st_39.txt,3.0,800,2404,9837,39,722,10559,1600,9,10,53.0,60.0,0.11666666666666667,3600.3036183950026,90573,True
Philadelphia_n800_m2404_st_5.txt,8.0,800,2404,60025,5,790,60815,1600,2,4,6.0,6.0,0.0,459.04617894599505,2330,False
Philadelphia_n800_m2404_st_5.txt,7.0,800,2404,46505,5,790,47295,1600,9,4,7.0,9.0,0.2222222222222222,3600.5567931209953,36569,True
Philadelphia_n800_m2404_st_5.txt,6.0,800,2404,34699,5,790,35489,1600,9,4,9.0,11.0,0.18181818181818182,3600.457409292998,43021,True
Philadelphia_n800_m2404_st_5.txt,5.0,800,2404,24702,5,790,25492,1600,9,6,11.0,14.0,0.21428571428571427,3600.427190328992,56343,True
Philadelphia_n800_m2404_st_5.txt,4.0,800,2404,16420,5,790,17210,1600,9,4,16.0,17.0,0.058823529411764705,3600.388719009992,86976,True
Philadelphia_n800_m2404_st_5.txt,3.0,800,2404,9837,5,790,10627,1600,9,6,22.0,26.0,0.15384615384615385,3600.1157109349733,96218,True
Philadelphia_n800_m2404_st_5.txt,2.0,800,2404,5015,5,790,5805,1600,9,4,39.0,41.0,0.04878048780487805,3600.1870880189817,152629,True
inst_Anaheim_n416_m914_st_19.txt,4.0,416,914,5509,19,378,5887,832,2,9,28.0,28.0,0.0,283.96409530201345,44573,False
inst_Anaheim_n416_m914_st_19.txt,3.0,416,914,3224,19,378,3602,832,2,10,45.0,45.0,0.0,493.2756157350086,89752,False
inst_Anaheim_n416_m914_st_19.txt,2.0,416,914,1661,19,378,2039,832,2,5,80.0,80.0,0.0,419.4246666340041,115763,False
