instance,R,N_nodes,M_base,A_R,m,VI,vars,cons,status,solcount,LI,LS,gap,runtime_s,nodes,timelimit,model
Barcelona_n930_m2522_st_15.txt,5.0,930,2522,32648,15,900,490845,27930,9,10,10.0,16.0,0.375,3606.970874057006,11,True,estendido_equiv
Barcelona_n930_m2522_st_15.txt,4.0,930,2522,20513,15,900,308820,27930,9,9,15.0,20.0,0.25,3602.512843664008,76,True,estendido_equiv
Barcelona_n930_m2522_st_25.txt,5.0,930,2522,32648,25,880,817705,46550,9,9,11.0,16.0,0.3125,3610.1466376440076,1,True,estendido_equiv
Barcelona_n930_m2522_st_25.txt,4.0,930,2522,20513,25,880,514330,46550,9,10,18.0,23.0,0.21739130434782608,3604.049205623014,8,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,6.0,930,2522,48353,50,830,2420980,93100,9,1,0.0,795.0,1.0,3621.4234613789886,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,5.0,930,2522,32648,50,830,1635730,93100,9,8,10.0,23.0,0.5652173913043478,3610.9075312929926,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,4.0,930,2522,20513,50,830,1028980,93100,9,10,18.0,37.0,0.5135135135135135,3607.5983800129907,1,True,estendido_equiv
Barcelona_n930_m2522_st_50.txt,3.0,930,2522,11284,50,830,567530,93100,9,10,35.0,63.0,0.4444444444444444,3604.6643120709923,1,True,estendido_equiv
Chicago_n400_m1130_st10.txt,9.0,400,1130,15471,10,380,155190,8020,9,5,8.0,10.0,0.2,3600.9457172510156,2658,True,estendido_equiv
Chicago_n400_m1130_st10.txt,8.0,400,1130,12715,10,380,127630,8020,9,6,10.0,12.0,0.16666666666666666,3601.002209900995,2684,True,estendido_equiv
Chicago_n400_m1130_st10.txt,7.0,400,1130,10178,10,380,102260,8020,9,7,12.0,16.0,0.25,3600.843640772975,2903,True,estendido_equiv
Chicago_n400_m1130_st15.txt,10.0,400,1130,18449,15,370,277330,12030,9,3,6.0,9.0,0.3333333333333333,3601.965291708999,620,True,estendido_equiv
Chicago_n400_m1130_st15.txt,9.0,400,1130,15471,15,370,232660,12030,9,5,7.0,11.0,0.36363636363636365,3603.7494729669997,641,True,estendido_equiv
Chicago_n400_m1130_st15.txt,8.0,400,1130,12715,15,370,191320,12030,9,4,10.0,13.0,0.23076923076923078,3601.850977293012,1399,True,estendido_equiv
Chicago_n400_m1130_st15.txt,7.0,400,1130,10178,15,370,153265,12030,9,5,12.0,17.0,0.29411764705882354,3602.735340285988,1960,True,estendido_equiv
Chicago_n400_m1130_st5.txt,8.0,400,1130,12715,5,390,63990,4010,2,3,9.0,9.0,0.0,12.786029680020874,1,False,estendido_equiv
Chicago_n400_m1130_st5.txt,7.0,400,1130,10178,5,390,51305,4010,2,3,11.0,11.0,0.0,68.40179285098566,278,False,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,8.0,800,2404,60025,25,750,1502000,40050,9,2,6.0,8.0,0.25,3617.1480934919964,1,True,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,7.0,800,2404,46505,25,750,1164000,40050,9,6,6.0,10.0,0.4,3607.8711982230016,1,True,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,6.0,800,2404,34699,25,750,868850,40050,9,6,9.0,14.0,0.35714285714285715,3606.1073769910145,1,True,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,5.0,800,2404,24702,25,750,618925,40050,9,7,13.0,22.0,0.4090909090909091,3604.538311798009,1,True,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,4.0,800,2404,16420,25,750,411875,40050,9,9,20.0,33.0,0.3939393939393939,3603.1655330090143,1,True,estendido_equiv
Philadelphia_n800_m2404_st_25.txt,3.0,800,2404,9837,25,750,247300,40050,9,10,32.0,47.0,0.3191489361702128,3602.387790665991,2,True,estendido_equiv
Philadelphia_n800_m2404_st_39.txt,5.0,800,2404,24702,39,722,965621,62478,9,10,13.0,24.0,0.4583333333333333,3606.321950006997,1,True,estendido_equiv
Philadelphia_n800_m2404_st_39.txt,4.0,800,2404,16420,39,722,642623,62478,9,10,21.0,43.0,0.5116279069767442,3605.2144489079947,1,True,estendido_equiv
Philadelphia_n800_m2404_st_39.txt,3.0,800,2404,9837,39,722,385886,62478,9,10,37.0,65.0,0.4307692307692308,3603.29854567899,1,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,8.0,800,2404,60025,5,790,300940,8010,2,5,6.0,6.0,0.0,778.2671499570133,176,False,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,7.0,800,2404,46505,5,790,233340,8010,9,5,7.0,9.0,0.2222222222222222,3601.9092245619977,817,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,6.0,800,2404,34699,5,790,174310,8010,2,4,11.0,11.0,0.0,3516.1795319690427,4453,False,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,5.0,800,2404,24702,5,790,124325,8010,9,4,9.0,14.0,0.35714285714285715,3601.1467655839515,1110,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,4.0,800,2404,16420,5,790,82915,8010,9,5,16.0,17.0,0.058823529411764705,3600.863541133993,4784,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,3.0,800,2404,9837,5,790,50000,8010,9,7,18.0,26.0,0.3076923076923077,3600.5501822149963,2476,True,estendido_equiv
Philadelphia_n800_m2404_st_5.txt,2.0,800,2404,5015,5,790,25890,8010,9,10,31.0,41.0,0.24390243902439024,3600.3255185249727,3318,True,estendido_equiv
inst_Anaheim_n416_m914_st_19.txt,4.0,416,914,5509,19,378,105410,15846,9,10,22.0,28.0,0.21428571428571427,3600.979748194979,1341,True,estendido_equiv
inst_Anaheim_n416_m914_st_19.txt,3.0,416,914,3224,19,378,61995,15846,9,10,39.0,45.0,0.13333333333333333,3600.792437927972,2404,True,estendido_equiv
inst_Anaheim_n416_m914_st_19.txt,2.0,416,914,1661,19,378,32298,15846,9,7,72.0,80.0,0.1,3600.435655281006,13833,True,estendido_equiv
